wlbName,wlbDstTestNumber,wlbDstFromDepth,wlbDstToDepth,wlbDstChokeSize,wlbDstFinShutInPress,wlbDstFinFlowPress,wlbDstBottomHolePress,wlbDstOilProd,wlbDstGasProd,wlbDstOilDensity,wlbDstGasDensity,wlbDstGasOilRelation,wlbNpdidWellbore,wlbDstDateUpdated,dateSyncNPD
17/12-1 R,1.0,2337,2341,4.7,0.000,0.000,0.000,140,4813,0.880,0.000,34,514,9999-12-31,2013-05-08
17/12-1 R,2.0,2316,2325,4.7,0.000,0.000,0.000,80,4277,0.860,0.000,53,514,9999-12-31,2013-05-08
17/12-1 R,3.0,2316,2342,3.2,0.000,0.000,0.000,159,7000,0.860,0.000,44,514,9999-12-31,2013-05-08
17/12-2,1.0,2166,2169,0.0,0.000,0.000,0.000,1,0,0.000,0.000,0,340,9999-12-31,2013-05-08
17/12-2,2.0,2157,2162,6.3,4.000,3.000,0.000,366,31820,0.887,0.000,87,340,9999-12-31,2013-05-08
17/12-4 A,1.0,2694,2760,12.5,24.000,0.000,16.000,400,11500,0.000,0.000,0,6178,2012-07-21,2013-05-08
18/10-1,1.0,2414,2427,50.8,23.000,19.000,0.000,295,2850,0.834,0.724,9,342,9999-12-31,2013-05-08
2/1-1,1.0,3620,3743,0.0,16.000,0.000,0.000,0,14100,0.000,0.000,0,249,9999-12-31,2013-05-08
2/11-1,1.0,2633,2639,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,168,9999-12-31,2013-05-08
2/11-1,2.0,2595,2605,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,168,9999-12-31,2013-05-08
2/11-1,3.0,2629,2651,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,168,9999-12-31,2013-05-08
2/11-1,4.0,2646,2651,12.5,0.000,0.000,0.000,72,0,0.000,0.000,0,168,9999-12-31,2013-05-08
2/11-2,1.0,2672,2680,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,285,9999-12-31,2013-05-08
2/11-2,2.0,2643,2665,0.0,0.000,0.000,0.000,545,82120,0.830,0.000,194,285,9999-12-31,2013-05-08
2/11-3 A,1.0,3268,3280,9.5,0.000,0.000,0.000,88,12743,0.880,0.800,0,287,9999-12-31,2013-05-08
2/11-3 A,2.0,3230,3236,9.5,0.000,0.000,0.000,519,63429,0.840,0.690,0,287,9999-12-31,2013-05-08
2/11-4,1.0,2698,2707,99.0,0.000,0.000,0.000,0,0,0.000,0.000,0,96,9999-12-31,2013-05-08
2/11-4,2.0,2588,2595,99.0,0.000,0.000,0.000,213,32000,0.000,0.000,0,96,9999-12-31,2013-05-08
2/11-6 S,1.0,3875,3900,3.2,0.000,0.000,0.000,364,39000,0.000,0.000,105,289,9999-12-31,2013-05-08
2/11-6 S,2.0,3585,3706,7.9,0.000,0.000,0.000,223,24000,0.863,0.714,106,289,9999-12-31,2013-05-08
2/11-6 S,3.0,3713,3735,19.0,0.000,0.000,0.000,921,87000,0.000,0.000,95,289,9999-12-31,2013-05-08
2/12-1,1.0,4630,4647,9.5,0.000,0.000,0.000,1051,176000,0.828,0.835,168,1014,9999-12-31,2013-05-08
2/12-1,2.0,4600,4612,14.3,0.000,0.000,0.000,1629,214000,0.828,0.828,131,1014,9999-12-31,2013-05-08
2/1-3,1.0,3863,3872,15.9,0.000,0.000,0.000,226,19000,0.820,0.000,150,251,9999-12-31,2013-05-08
2/1-3,2.0,3839,3845,12.7,0.000,0.000,0.000,1051,55000,0.830,0.000,116,251,9999-12-31,2013-05-08
2/1-3,3.0,3819,3825,12.7,0.000,0.000,0.000,933,39000,0.835,0.000,108,251,9999-12-31,2013-05-08
2/1-4,1.0,4120,4129,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,48,9999-12-31,2013-05-08
2/1-4,2.0,4101,4117,6.3,0.000,0.000,0.000,182,20000,0.816,0.758,112,48,9999-12-31,2013-05-08
2/1-4,3.0,4061,4087,3.2,0.000,0.000,0.000,99,11000,0.823,0.750,115,48,9999-12-31,2013-05-08
2/1-6,1.0,4329,4340,25.4,16.000,0.000,0.000,0,0,0.000,0.000,0,109,9999-12-31,2013-05-08
2/1-6,2.0,4241,4210,11.1,12.500,0.000,0.000,0,0,0.000,0.000,0,109,9999-12-31,2013-05-08
2/1-8,1.0,3919,3926,6.4,0.000,0.000,0.000,305,0,0.826,0.740,99,459,9999-12-31,2013-05-08
2/1-8,2.0,3901,3926,11.1,0.000,0.000,0.000,954,0,0.825,0.825,107,459,9999-12-31,2013-05-08
2/1-9,1.0,4078,4108,17.4,7.000,0.000,23.600,165,90577,0.000,0.000,549,1667,2012-07-21,2013-05-08
2/2-1,1.0,3715,3730,11.1,3.000,0.000,51.000,200,0,0.827,0.860,70,46,9999-12-31,2013-05-08
2/2-2,1.0,1980,1988,11.2,0.000,0.000,0.000,0,314000,0.000,0.570,0,80,9999-12-31,2013-05-08
2/2-5,1.0,3666,3670,7.9,0.000,0.000,0.000,600,0,0.000,0.000,44,1846,2012-07-21,2013-05-08
2/3-1,1.0,1624,1637,11.5,0.000,0.000,0.000,0,283100,0.000,0.000,0,162,9999-12-31,2013-05-08
2/3-1,2.0,1588,1601,11.5,0.000,0.000,0.000,0,50000,0.000,0.000,0,162,9999-12-31,2013-05-08
2/4-10,1.0,3304,3322,9.5,11.000,0.000,43.000,586,1180,0.834,0.000,2,254,9999-12-31,2013-05-08
2/4-10,2.0,3304,3309,25.4,0.000,0.000,31.000,122,864,0.846,0.856,7,254,9999-12-31,2013-05-08
2/4-11,1.0,3758,3770,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,255,9999-12-31,2013-05-08
2/4-11,2.0,3639,3667,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,255,9999-12-31,2013-05-08
2/4-11,3.0,3639,3667,0.0,0.000,0.000,0.000,8,0,0.000,0.000,0,255,9999-12-31,2013-05-08
2/4-11,4.0,3188,3200,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,255,9999-12-31,2013-05-08
2/4-11,5.0,3146,3161,0.0,0.000,0.000,0.000,50,1050,0.822,0.000,0,255,9999-12-31,2013-05-08
2/4-17,1.0,4523,4638,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.0,4341,4388,15.9,0.000,0.000,0.000,774,849078,0.799,0.735,1097,1792,2012-07-21,2013-05-08
2/4-17,2.1,4340,4388,0.0,0.000,0.000,0.000,266,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.2,4341,4388,0.0,0.000,0.000,0.000,610,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.3,4341,4388,0.0,0.000,0.000,0.000,597,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.4,4341,4388,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.5,4341,4388,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-17,2.6,4341,4388,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1792,9999-12-31,2013-05-08
2/4-2,1.0,3160,3196,25.4,0.000,0.000,0.000,1089,0,0.000,0.000,0,172,9999-12-31,2013-05-08
2/4-2,2.0,3160,3196,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,172,9999-12-31,2013-05-08
2/4-2,3.0,3160,3196,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,172,9999-12-31,2013-05-08
2/4-2,4.0,3148,3160,25.4,0.000,0.000,0.000,170,167067,0.839,0.000,0,172,9999-12-31,2013-05-08
2/4-3,1.0,3354,3363,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,97,9999-12-31,2013-05-08
2/4-3,10.0,3124,3224,19.0,28.000,0.000,38.000,595,132925,0.859,0.000,0,97,9999-12-31,2013-05-08
2/4-3,11.0,3015,3023,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,97,9999-12-31,2013-05-08
2/4-3,2.0,3332,3341,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,97,9999-12-31,2013-05-08
2/4-3,3.0,3317,3320,19.0,7.300,0.000,27.500,323,58581,0.855,0.000,0,97,9999-12-31,2013-05-08
2/4-3,4.0,3268,3296,28.5,0.000,0.000,0.000,328,62967,0.845,0.000,0,97,9999-12-31,2013-05-08
2/4-3,5.0,3235,3244,19.0,28.000,0.000,0.000,172,36337,0.853,0.000,0,97,9999-12-31,2013-05-08
2/4-3,6.0,3195,3226,6.3,28.500,0.000,46.000,166,35799,0.848,0.000,0,97,9999-12-31,2013-05-08
2/4-3,7.0,3195,3226,19.0,28.000,0.000,33.000,609,129812,0.854,0.000,0,97,9999-12-31,2013-05-08
2/4-3,8.0,3139,3148,6.0,28.000,0.000,46.000,186,39337,0.847,0.000,0,97,9999-12-31,2013-05-08
2/4-3,9.0,3124,3154,25.4,28.000,0.000,20.000,326,79240,0.849,0.000,0,97,9999-12-31,2013-05-08
2/4-4,1.0,3274,3284,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,174,9999-12-31,2013-05-08
2/4-4,2.0,3247,3256,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,174,9999-12-31,2013-05-08
2/4-4,3.0,3234,3237,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,174,9999-12-31,2013-05-08
