cmpLongName,fldName,cmpRecoverableOil,cmpRecoverableGas,cmpRecoverableNGL,cmpRecoverableCondensate,cmpRecoverableOE,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,dateSyncNPD
Marathon Oil Norge AS,VOLUND,5.59,0.59,0.00,0.00,6.18,2.60,0.33,0.00,0.00,2.93,2012-12-31,65.00000,4380167,20485291,2013-05-08
Noreco Norway AS,ENOCH,0.09,0.00,0.00,0.00,0.09,0.02,0.00,0.00,0.00,0.02,2012-12-31,4.36000,3437659,22223020,2013-05-08
Noreco Norway AS,OSELVAR,0.69,0.59,0.00,0.00,1.28,0.68,0.59,0.00,0.00,1.26,2012-12-31,15.00000,5506919,22223020,2013-05-08
Norske AEDC A/S,GYDA,1.83,0.34,0.10,0.00,2.35,0.05,0.03,0.01,0.00,0.08,2012-12-31,5.00000,43492,34,2013-05-08
Norske AEDC A/S,TAMBAR ØST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2012-12-31,0.80000,4999528,34,2013-05-08
Norske AEDC A/S,YME,2.20,0.00,0.00,0.00,2.20,1.41,0.00,0.00,0.00,1.41,2012-12-31,10.00000,43807,34,2013-05-08
OMV (Norge) AS,EDVARD GRIEG,5.24,0.36,0.12,0.00,5.83,5.24,0.36,0.12,0.00,5.83,2012-12-31,20.00000,21675433,4460594,2013-05-08
Petoro AS,ALBUSKJELL,0.37,0.78,0.05,0.00,1.25,0.00,0.00,0.00,0.00,0.00,2012-12-31,5.00000,43437,1626839,2013-05-08
Petoro AS,ATLA,0.09,0.42,0.00,0.00,0.51,0.09,0.39,0.00,0.00,0.48,2012-12-31,30.00000,21106284,1626839,2013-05-08
Petoro AS,COD,0.15,0.37,0.03,0.00,0.56,0.00,0.00,0.00,0.00,0.00,2012-12-31,5.00000,43785,1626839,2013-05-08
Petoro AS,DRAUGEN,70.24,0.77,1.34,0.00,73.55,7.13,0.05,0.19,0.00,7.55,2012-12-31,47.88000,43758,1626839,2013-05-08
Petoro AS,EDDA,0.24,0.10,0.01,0.00,0.36,0.00,0.00,0.00,0.00,0.00,2012-12-31,5.00000,43541,1626839,2013-05-08
Petoro AS,EKOFISK,28.46,8.23,0.76,0.00,38.13,6.49,1.14,0.11,0.00,7.84,2012-12-31,5.00000,43506,1626839,2013-05-08
Petoro AS,ELDFISK,6.90,2.24,0.21,0.00,9.52,1.87,0.27,0.01,0.00,2.15,2012-12-31,5.00000,43527,1626839,2013-05-08
Petoro AS,EMBLA,0.60,0.38,0.04,0.00,1.04,0.08,0.18,0.02,0.00,0.28,2012-12-31,5.00000,43534,1626839,2013-05-08
Petoro AS,GIMLE,0.73,0.34,0.07,0.00,1.20,0.10,0.24,0.05,0.00,0.43,2012-12-31,24.18630,4005142,1626839,2013-05-08
Petoro AS,GJØA,3.48,9.81,2.61,0.00,18.25,1.92,8.34,2.28,0.00,14.59,2012-12-31,30.00000,4467574,1626839,2013-05-08
Petoro AS,GRANE,36.06,0.00,0.00,0.00,36.06,10.45,0.00,0.00,0.00,10.45,2012-12-31,28.94250,1035937,1626839,2013-05-08
Petoro AS,GULLFAKS,109.65,6.93,0.84,0.00,118.18,3.48,0.00,0.00,0.00,3.48,2012-12-31,30.00000,43686,1626839,2013-05-08
Petoro AS,GULLFAKS SØR,17.64,19.53,2.76,0.00,42.41,4.98,9.63,1.50,0.00,17.46,2012-12-31,30.00000,43699,1626839,2013-05-08
Petoro AS,HEIDRUN,105.92,27.05,1.28,0.00,135.40,23.32,18.21,0.99,0.00,43.41,2012-12-31,58.16440,43771,1626839,2013-05-08
Petoro AS,HEIMDAL,1.64,9.38,0.00,0.00,11.02,0.32,0.34,0.00,0.00,0.66,2012-12-31,20.00000,43590,1626839,2013-05-08
Petoro AS,HULDRA,1.63,5.59,0.03,0.00,7.28,0.00,0.22,0.00,0.00,0.22,2012-12-31,31.95534,97002,1626839,2013-05-08
Petoro AS,JETTE,0.45,0.03,0.00,0.00,0.48,0.45,0.03,0.00,0.00,0.48,2012-12-31,30.00000,21613906,1626839,2013-05-08
Petoro AS,KRISTIN,4.48,5.62,1.23,0.41,12.86,1.17,1.90,0.45,0.00,3.93,2012-12-31,19.57700,1854729,1626839,2013-05-08
