fclNpdidFacility,fclSurface,fclCurrentOperatorName,fclName,fclKind,fclBelongsToName,fclBelongsToKind,fclBelongsToS,fclStartupDate,fclWaterDepth,fclFunctions,fclDesignLifetime,fclFactPageUrl,fclFactMapUrl,fclPointGeometryWKT
377763,"N","Statoil Petroleum AS","TYRIHANS W","MULTI WELL TEMPLATE","TYRIHANS","FIELD","3960848",1900-01-01,"282.000","WATER INJECTION","25","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=377763","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=377763","POINT(7.015317 64.834914)"
378110,"N","Statoil Petroleum AS","35/11-B-31 H","SINGLE WELL TEMPLATE","FRAM","FIELD","1578840",1900-01-01,"356.000",NULL,"0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=378110","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=378110","POINT(3.576089 61.040294)"
378147,"N","Talisman Energy Norge AS","15/12-C","MULTI WELL TEMPLATE","REV","FIELD","4467554",2009-01-26,"113.000","GAS PRODUCER","10","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=378147","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=378147","POINT(1.924539 58.027967)"
378185,"Y",NULL,"ARMADA","JACKET 4 LEGS",NULL,NULL,NULL,1997-10-01,"110.000","PROCESSING - QUARTER","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=378185","http://www.npd.no/FactMapSearch?npdid_facility_surface=378185","POINT(1.845911 57.957436)"
378362,"N","Statoil Petroleum AS","ALVE","MULTI WELL TEMPLATE","ALVE","FIELD","4444332",2009-03-19,"390.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=378362","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=378362","POINT(7.810103 65.968444)"
391161,"N","A/S Norske Shell","6407/9-D-3 H","SINGLE WELL TEMPLATE","DRAUGEN","FIELD","43758",2008-09-27,"254.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=391161","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=391161","POINT(7.712722 64.360889)"
391213,"N","A/S Norske Shell","6407/9-E-3 H","SINGLE WELL TEMPLATE","DRAUGEN","FIELD","43758",2008-06-15,"293.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=391213","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=391213","POINT(7.73205 64.26225)"
391270,"N",NULL,"ÅSGARD D","SINGLE WELL TEMPLATE",NULL,NULL,NULL,1900-01-01,"300.000",NULL,"0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=391270","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=391270","POINT(6.611233 65.068075)"
394760,"N","Statoil Petroleum AS","6507/11-8 H","SINGLE WELL TEMPLATE","YTTERGRYTA","FIELD","4973114",2009-01-06,"297.000","GAS PRODUCER","15","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=394760","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=394760","POINT(7.509222 65.111611)"
394821,"N","Statoil Petroleum AS","34/7-R-1 H","SINGLE WELL TEMPLATE","TORDIS","FIELD","43725",2008-02-14,"229.000","WATER INJECTION","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=394821","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=394821","POINT(2.115192 61.275617)"
