pipNpdidPipe,pipNpdidFromFacility,pipNpdidToFacility,pipNpdidOperator,pipName,pipNameFromFacility,pipNameToFacility,pipNameCurrentOperator,pipCurrentPhase,pipMedium,pipMainGrouping,pipDimension,pipLineGeometryWKT
326340,278357,286841,1944954,"Gas DRAUPNER E, EUROPIPE-SCP","DRAUPNER E","EUROPIPE-SCP","GASSCO AS","IN SERVICE","Gas","Transportation",40.0,"LINESTRING(2.45937418085121 58.1864291771626,2.45685301336922 58.1855669932625,2.4468060135561 58.1809889932007,2.43821901371687 58.1756419931471,2.43141101384457 58.1696499931041,2.42583601394858 58.1623219930681,2.42236401401 58.1511059930443,2.42891701365656 57.745277993002,2.43271101357658 57.7313969930229,2.5173140119607 57.5493169935017,2.52170601188263 57.5418079935262,2.52859401176352 57.5348719935653,2.53651401162906 57.5293139936104,2.62828601017498 57.4820389941182,2.63560601006585 57.4773329941571,2.64243300996434 57.471396994193,3.38300600303842 56.6530609971506,3.4085170029067 56.6215999972246,3.49002800251972 56.5285639974511,3.50380600245936 56.515643997488,3.74981400156903 56.2324389980753,3.77123300150748 56.2139329981208,3.79171700144999 56.1899779981634,3.84118600131837 56.1259939982626,4.16362200068782 55.7452999988089,4.16965300067915 55.7391779988176,4.17619400066994 55.734288998827,4.21714816500949 55.7101929828294)"
322668,277573,277321,17237817,"Condensate HULDRA, VESLEFRIKK A","HULDRA","VESLEFRIKK A","Statoil Petroleum AS","IN SERVICE","Condensate","Transportation",8.0,"LINESTRING(2.65652224095021 60.8525399899877,2.66359301097533 60.8474499949587,2.6764760107721 60.8424529950174,2.87872400799831 60.7912449958754,2.89305852811574 60.7865028038187)"
326918,277937,287065,1944954,"Gas EKOFISK J, NORPIPE Y","EKOFISK J","NORPIPE Y","GASSCO AS","IN SERVICE","Gas","Transportation",36.0,"LINESTRING(3.23266930404535 56.549606324055,3.23812200383332 56.5507579966789,3.24601100378458 56.5505609967057,3.2633940036786 56.5476059967641,3.27645300360025 56.5429529968071,3.28631900354139 56.5361469968392,3.30702200341894 56.5126939969049,3.32359355437094 56.4969415970824)"
327836,272561,287625,1944954,"Gas FRIGG TCP2, VESTERLED T","FRIGG TCP2","VESTERLED T","GASSCO AS","DECOMMISSIONED","Gas","Transportation",32.0,"MULTILINESTRING((1.32776665112899 59.6437560248168,1.35761405815445 59.6452359842259,1.41088905456431 59.6456139848464,1.58796104401066 59.6503329867732,1.60485604310847 59.6527689869473,1.62051104228938 59.6565809871078,1.64736904092263 59.6678249873819,1.70779203799974 59.7007109879849,1.73342203681521 59.7132079882329,1.81610803322129 59.7601829890078,1.82941103267147 59.7661939891278,1.89037203025898 59.7988439896666,1.90163902983174 59.8057999897641,1.9119080294477 59.8128359898526,1.91982202915697 59.8205859899214,1.92587502893841 59.8286919899746,1.93626102856986 59.8458749900666,1.94269402835028 59.8635889901262,1.95212202802333 59.8811309902095),(1.95212202802333 59.8811309902095,1.94971302810673 59.8768419901883),(1.95212202802333 59.8811309902095,1.96197302767578 59.8890869902919,1.97426602724355 59.8946839903922,1.98810702676277 59.8995269905036,2.001113026316 59.9019179906064,2.01052202599603 59.9025999906799,2.02026202566765 59.9023669907551,2.03523302516847 59.900032990869,2.04906502471254 59.8949389909722,2.0623700242783 59.8867839910694,2.06352050863879 59.8857281753032))"
371254,371216,364693,562,"Gas ORMEN LANGE B, NYHAMNA","ORMEN LANGE B","NYHAMNA","A/S Norske Shell","IN SERVICE","Gas","Feeder",30.0,"MULTILINESTRING((6.94381699999999 62.8503199999945,6.96151699999998 62.8610949999948,6.96329699999998 62.8640339999948,6.96213699999998 62.8671949999948,6.95599999999999 62.8706119999947,6.92586200000002 62.8781299999942,6.90096200000005 62.8916549999938,6.88300000000007 62.8976859999935,6.87625300000008 62.8992049999934,6.85176600000012 62.9012599999929,6.83645800000015 62.9013689999926,6.79626800000022 62.9049629999917,6.78649800000024 62.9069409999915,6.77856500000026 62.9101549999913,6.77293300000028 62.9144349999912,6.77040100000028 62.9190759999911,6.77451000000028 62.9329769999912,6.77264800000028 62.9419849999912,6.7659800000003 62.948312999991,6.75427900000033 62.9530629999907,6.74524000000036 62.9548019999905,6.73527300000039 62.9554689999902,6.63960200000073 62.9536699999875,6.62574600000079 62.9549069999871,6.6042390000009 62.9582509999864,6.50389100000152 62.9670279999826,6.45364100000193 62.9741099999804,6.4251750000022 62.979702999979,6.30122600000375 63.0074089999723,6.17801000000606 63.0490019999638,6.15978700000649 63.0560479999624,6.02851100001035 63.1173769999509,5.89535800001612 63.1998779999365,5.79386200002216 63.2675869999233,5.77840200002324 63.2830489999211,5.76607000002412 63.2894209999193,5.74515800002569 63.3033879999162,5.73570500002645 63.3192359999149,5.70521700002895 63.33542899991,5.69211200003012 63.361309999908,5.66907500003221 63.3745769999042,5.64803300003424 63.3946299999007,5.64020300003502 63.4000169998993,5.62200200003689 63.407722999896,5.6133680000378 63.4103839998944,5.59058500004029 63.4146479998902,5.56172500004365 63.4217649998845,5.53967100004638 63.42296799988,5.5240190000484 63.4248439998767,5.5011890000515 63.4317789998718,5.48100000005438 63.4357609998674,5.45288900005863 63.444543999861,5.43273700006186 63.4525109998563,5.41789100006434 63.4594569998527,5.39739500006789 63.4645849998476,5.38879600006944 63.4683279998455,5.38235200007063 63.4742189998439,5.37908600007126 63.4830709998432,5.38362010926316 63.4924790646122),(5.38782630759314 63.5012012483292,5.38990800006936 63.5055159998461,5.38687600006995 63.5164159998455,5.38680396898447 63.5239216888385))"
319166,287065,277265,1944954,"Gas NORPIPE Y, B-11","NORPIPE Y","B-11","GASSCO AS","IN SERVICE","Gas","Transportation",36.0,"LINESTRING(3.33330926295489 56.4861829205329,3.34815600318739 56.4707669970325,3.3728720030544 56.4422139971069,3.39214200295468 56.423421997164,3.50234200243547 56.3038499974729,3.54001700227756 56.2653309975722,3.61325800199725 56.2013779977565,3.61860000197819 56.1979389977695,3.64849700187331 56.1693939978409,3.69386100172394 56.130871997946,3.73377200160084 56.0935359980347,3.74761900156013 56.0823559980648,3.7912220014369 56.0381029981569,3.7976250014197 56.0334359981702,3.88331400120405 55.9453829983397,3.90299700115892 55.9276309983768,3.93688600108431 55.8928719984391,4.08486100080535 55.7491059986886,4.16351100068557 55.7018389988079,4.18340000065777 55.6887079988365,4.24311900058019 55.6532559989193,4.54634993374151 55.4656150483154)"
357492,280877,286729,1944954,"Gas KVITEBJØRN, KOLLSNES","KVITEBJØRN","KOLLSNES","GASSCO AS","IN SERVICE","Gas","Transportation",30.0,"MULTILINESTRING((2.50705394631691 61.0775940767367,2.51738801360497 61.0725019942965,2.52555559174723 61.0690555236847),(2.53930310395753 61.0632516215933,2.539539013184 61.0631519944074,2.5662060126944 61.0563509945397,2.59543101217429 61.0432889946804,2.63218301154951 61.0331879948546,2.67541601084888 61.0147859950522,2.69518601054051 61.00411199514,2.72638901007134 60.9924429952771,2.79235100913943 60.9654349955563,2.91472500761238 60.9196399960396,3.02610500642383 60.8764309964414,3.10183900571239 60.845008996695,3.21621900477071 60.8010669970504,3.34236700389436 60.7543259974059,3.41357200346485 60.72255699759,3.48921300305561 60.6937479977743,3.50502100297587 60.6891859978114,3.59599900255263 60.6723329980164,3.62166300244345 60.6690409980714,3.67339200223568 60.6602819981783,3.82961600170055 60.6454469984726,3.96828000132352 60.6248659986996,4.10833400101973 60.6069759988999,4.49242500047671 60.5438689993227,4.57647600039964 60.5274159993942,4.5959540003834 60.5222589994099,4.64010800034867 60.508372999444,4.66208300033249 60.5044669994604,4.67699900032192 60.5036129994714,4.69122600031212 60.5040699994817,4.70687400030168 60.5060389994929,4.72212400029181 60.5089069995037,4.73877800028139 60.5142399995152,4.75724800027027 60.5232849995278,4.78147600025617 60.5288959995438,4.80056000024559 60.5379219995561,4.8192860002355 60.5413969995679,4.82607600023196 60.5442309995722,4.83706825219642 60.5465616399433))"
321750,272337,286477,2052695,"Oil GYDA, ULA-Y","GYDA","ULA-Y","BP Norge AS","IN SERVICE","Oil","Transportation",20.0,"LINESTRING(3.08381386982995 56.9093237484195,3.04605300531229 56.9683949960057,3.04041700536063 56.9742359959839,2.85403563137812 57.0761069262779)"
321818,272421,286309,1944954,"Gas HEIDRUN, TJELDBERGODDEN","HEIDRUN","TJELDBERGODDEN","GASSCO AS","IN SERVICE","Gas","Transportation",16.0,"LINESTRING(7.32161898080418 65.319337208309,7.33553199999997 65.2973709999987,7.34674199999997 65.2605289999987,7.36943699999997 65.2381129999988,7.38729099999997 65.2229229999989,7.40294799999997 65.204467999999,7.40798199999997 65.196471999999,7.40949999999997 65.190406999999,7.41066599999997 65.141723999999,7.42959099999997 65.1043619999991,7.42750799999997 65.053473999999,7.44053399999997 65.0342409999991,7.45417799999996 65.0080109999991,7.47815999999996 64.9780499999992,7.50984499999996 64.9479289999993,7.55086899999997 64.9173889999994,7.60184499999997 64.8702999999995,7.70091999999998 64.7884979999997,7.73241599999998 64.7670589999997,7.75369199999998 64.7506789999997,7.77153499999998 64.7297739999998,7.87224799999998 64.6461719999999,7.87747599999999 64.6386799999999,7.88234499999999 64.6235659999999,7.87989899999998 64.5676499999999,7.88866199999998 64.5149379999999,7.90043899999999 64.4883119999999,7.92075999999999 64.4685359999999,7.93818199999999 64.4573519999999,7.95704599999999 64.4488909999999,7.96285099999999 64.4453959999999,7.98040899999999 64.4241259999999,8.02100499999999 64.4023439999999,8.02717999999999 64.3955149999999,8.02724799999999 64.389458,8.02176699999999 64.381523,8.00987999999999 64.3667979999999,7.98935599999999 64.3474499999999,7.97787599999999 64.3253859999999,7.93534999999999 64.2737729999999,7.93421799999999 64.2436979999999,7.93062199999999 64.2193299999999,7.92752699999999 64.1762849999999,7.91188799999999 64.1190949999999,7.90349899999999 64.0802989999999,7.89432299999998 64.0660779999999,7.89303599999998 64.0618289999999,7.90009699999998 64.0428159999999,7.91243199999998 64.0310749999999,7.91531499999999 64.0258789999999,7.91336299999998 63.9997439999999,7.92885299999999 63.9540099999999,7.93194699999999 63.8824119999999,7.94732599999999 63.8441509999999,7.95024199999999 63.8270109999999,8.01580499999999 63.7317959999999,8.02565099999999 63.685787,8.02479299999999 63.6748659999999,8.02623899999999 63.6704179999999,8.03395899999999 63.6638639999999,8.06622299999999 63.6503519999999,8.07352299999999 63.645744,8.08432699999999 63.6280819999999,8.092408 63.598042,8.12187699999999 63.575836,8.139589 63.556816,8.17088599999999 63.538845,8.183463 63.529522,8.205979 63.52243,8.222825 63.509861,8.224143 63.506439,8.220973 63.499657,8.224132 63.488358,8.227596 63.483467,8.228003 63.477337,8.226797 63.472942,8.21736 63.465031,8.218605 63.45985,8.214173 63.447376,8.218481 63.44162,8.225243 63.436909,8.226092 63.434402,8.224548 63.429253,8.22586 63.426682,8.229435 63.424099,8.239384 63.419899,8.243613 63.413692,8.251678 63.409321,8.263588 63.40554,8.276841 63.403973,8.323453 63.402828,8.36587 63.400276,8.382181 63.401245,8.427908 63.401913,8.581714 63.423069,8.606696 63.428795,8.623056 63.429485,8.636926 63.427555,8.64624 63.424473,8.651925 63.421478,8.665208 63.410534,8.665102 63.407822,8.65820407141155 63.3988774835477)"
308524,272029,277937,2052695,"Oil ULA PP, EKOFISK J","ULA PP","EKOFISK J","BP Norge AS","IN SERVICE","Oil","Transportation",20.0,"MULTILINESTRING((3.20232849225237 56.5515365029437,3.18442200418014 56.5525559964915,3.17314400425675 56.5545469964512,3.16034700434578 56.5594889964052,3.15242800440238 56.5655439963767,3.14717500444141 56.5744439963581,3.11471100470309 56.6863529962462,3.07151400505451 56.7671829960874,2.99635600570332 56.8447749957923,2.85554700711049 56.9659829951888,2.81626700755048 56.9898169950074,2.81043100761845 56.9950359949802,2.80824700764526 57.0004139949703,2.80900800763853 57.0059139949747,2.8457858270164 57.0749808384721),(2.85038190841397 57.083594468331,2.8525690071833 57.0876919951892,2.85397500717029 57.0941609951965,2.85358300717675 57.1008439951955,2.85146335487207 57.1075691286021))"
