dscName,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscDateOffResEstDisplay,dscNpdidDiscovery,dscReservesDateUpdated,dateSyncNPD
34/8-13 A,4F,2.64,1.13,0.14,0.00,2012-12-31,5490448,2013-02-26,2013-05-08
35/10-2,7F,0.00,2.80,0.30,0.50,2012-12-31,44738,2013-02-26,2013-05-08
35/11-13,4F,3.42,0.61,0.04,0.00,2012-12-31,3465388,2013-02-26,2013-05-08
35/11-15 S,3F,1.67,0.00,0.00,0.00,2012-12-31,4475297,2013-02-26,2013-05-08
35/12-2,7F,4.80,0.74,0.00,0.00,2012-12-31,5818175,2013-02-26,2013-05-08
35/2-1,4F,0.00,19.54,0.00,0.00,2012-12-31,3465397,2013-02-26,2013-05-08
35/8-3,5F,0.58,2.65,0.00,0.00,2012-12-31,1333027,2013-02-26,2013-05-08
35/9-6 S,5F,5.41,4.00,0.00,2.54,2012-12-31,18449542,2013-02-26,2013-05-08
35/9-7,7F,22.20,8.10,0.00,0.00,2012-12-31,21667341,2013-02-26,2013-05-08
6201/11-3,7F,4.50,0.00,0.00,0.00,2012-12-31,22492626,2013-02-26,2013-05-08
6406/2-1 LAVRANS,5F,2.20,8.30,0.68,0.00,2012-12-31,44834,2013-02-26,2013-05-08
6406/2-7 ERLEND,4F,0.88,1.02,0.23,0.00,2012-12-31,916112,2013-02-26,2013-05-08
6406/3-2 TRESTAKK,4F,7.67,1.94,0.50,0.00,2012-12-31,44846,2013-02-26,2013-05-08
6406/3-8,4F,21.02,1.40,0.00,0.00,2012-12-31,18212080,2013-02-26,2013-05-08
6406/9-1 LINNORM,4F,0.00,22.63,0.00,0.54,2012-12-31,3435686,2013-02-26,2013-05-08
6407/2-5 S,7F,2.91,1.30,0.00,0.07,2012-12-31,17115700,2013-02-26,2013-05-08
6407/2-6 S,7F,0.00,1.94,0.00,0.48,2012-12-31,18104628,2013-02-26,2013-05-08
6407/6-6 MIKKEL SØR,4F,0.63,2.15,0.55,0.00,2012-12-31,4972665,2013-02-26,2013-05-08
6407/7-8,5F,0.49,2.03,0.28,0.00,2012-12-31,5071896,2013-02-26,2013-05-08
6407/9-9,5F,0.00,1.60,0.00,0.09,2012-12-31,110258,2013-02-26,2013-05-08
6506/11-2 LANGE,5F,0.54,0.24,0.06,0.00,2012-12-31,44894,2013-02-26,2013-05-08
6506/12-3 LYSING,5F,1.19,0.17,0.04,0.00,2012-12-31,116294,2013-02-26,2013-05-08
6506/6-1,5F,0.00,26.79,0.00,0.00,2012-12-31,1340823,2013-02-26,2013-05-08
6506/9-2 S,4F,1.70,9.73,0.00,0.00,2012-12-31,18086230,2013-02-26,2013-05-08
6507/11-6 SIGRID,5F,0.36,1.92,0.33,0.00,2012-12-31,1630057,2013-02-26,2013-05-08
6507/3-7,7F,0.00,0.80,0.00,0.04,2012-12-31,5818184,2013-02-26,2013-05-08
6507/3-8,5F,0.00,1.42,0.21,0.10,2012-12-31,17341840,2013-02-26,2013-05-08
6507/3-9 S,7F,0.16,2.06,0.25,0.00,2012-12-31,21695900,2013-02-26,2013-05-08
6507/7-13,5F,0.91,0.05,0.00,0.00,2012-12-31,1628221,2013-02-26,2013-05-08
6507/7-14 S,4F,0.00,17.35,0.19,0.50,2012-12-31,18229140,2013-02-26,2013-05-08
6607/12-2 S,4F,0.88,4.65,0.00,1.26,2012-12-31,21104629,2013-02-26,2013-05-08
6705/10-1,4F,0.00,17.81,0.00,0.30,2012-12-31,5466760,2013-02-26,2013-05-08
6707/10-1 AASTA HANSTEEN,3F,0.00,45.42,0.00,0.91,2012-12-31,44954,2013-02-26,2013-05-08
7/12-5,7F,0.77,0.20,0.02,0.00,2012-12-31,44978,2013-02-26,2013-05-08
7/8-3,4F,3.80,0.00,0.00,0.00,2012-12-31,44990,2013-02-26,2013-05-08
7120/12-2,7F,0.00,8.00,0.00,0.09,2012-12-31,45002,2013-02-26,2013-05-08
7120/12-3,7F,0.00,1.80,0.00,0.02,2012-12-31,45008,2013-02-26,2013-05-08
7120/2-3 S,7F,0.00,5.00,0.00,0.00,2012-12-31,20485020,2013-02-26,2013-05-08
7122/6-1,4F,0.00,3.69,0.00,0.18,2012-12-31,45068,2013-02-26,2013-05-08
7220/10-1,7F,0.00,5.75,0.00,0.25,2012-12-31,22468264,2013-02-26,2013-05-08
7220/7-1,5F,45.43,0.00,0.00,0.00,2012-12-31,21334480,2013-02-26,2013-05-08
7220/8-1,4F,40.93,0.00,0.00,0.00,2012-12-31,20441001,2013-02-26,2013-05-08
7222/11-1,7F,0.00,6.00,0.00,0.00,2012-12-31,5081995,2013-02-26,2013-05-08
7225/3-1,5F,0.00,41.58,0.70,1.52,2012-12-31,20499790,2013-02-26,2013-05-08
7226/2-1,7F,0.00,0.20,0.00,0.00,2012-12-31,5010034,2013-02-26,2013-05-08
8/10-4 S,5F,9.43,0.86,0.00,0.00,2012-12-31,21118177,2013-02-26,2013-05-08
