fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,dateSyncNPD
FRØY,5.60,1.60,0.00,0.10,7.30,0.00,0.00,0.00,0.00,0.00,2012-12-31,43597,2013-05-08
GAUPE,0.20,0.50,0.00,0.00,0.70,0.10,0.30,0.00,0.00,0.40,2012-12-31,18161341,2013-05-08
GIMLE,3.00,1.40,0.30,0.00,4.97,0.40,1.00,0.20,0.00,1.78,2012-12-31,4005142,2013-05-08
GJØA,11.60,32.70,8.70,0.00,60.83,6.40,27.80,7.60,0.00,48.64,2012-12-31,4467574,2013-05-08
GLITNE,8.90,0.00,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,2012-12-31,1272071,2013-05-08
GOLIAT,30.20,7.30,0.30,0.00,38.07,30.20,7.30,0.30,0.00,38.07,2012-12-31,5774394,2013-05-08
GRANE,124.60,0.00,0.00,0.00,124.60,36.10,0.00,0.00,0.00,36.10,2012-12-31,1035937,2013-05-08
GUDRUN,11.70,6.40,1.30,0.00,20.57,11.70,6.40,1.30,0.00,20.57,2012-12-31,18116481,2013-05-08
GULLFAKS,365.50,23.10,2.80,0.00,393.92,11.60,0.00,0.00,0.00,11.60,2012-12-31,43686,2013-05-08
GULLFAKS SØR,58.80,65.10,9.20,0.00,141.38,16.60,32.10,5.00,0.00,58.20,2012-12-31,43699,2013-05-08
GUNGNE,0.00,15.20,2.20,4.70,24.08,0.00,1.30,0.30,0.40,2.27,2012-12-31,43464,2013-05-08
GYDA,36.50,6.70,2.00,0.00,47.00,0.90,0.50,0.10,0.00,1.59,2012-12-31,43492,2013-05-08
HEIDRUN,182.10,46.50,2.20,0.00,232.78,40.10,31.30,1.70,0.00,74.63,2012-12-31,43771,2013-05-08
HEIMDAL,8.20,46.90,0.00,0.00,55.10,1.60,1.70,0.00,0.00,3.30,2012-12-31,43590,2013-05-08
HOD,10.40,1.80,0.40,0.00,12.96,0.90,0.20,0.10,0.00,1.29,2012-12-31,43485,2013-05-08
HULDRA,5.10,17.50,0.10,0.00,22.79,0.00,0.70,0.00,0.00,0.70,2012-12-31,97002,2013-05-08
HYME,3.20,0.50,0.20,0.00,4.08,3.20,0.50,0.20,0.00,4.08,2012-12-31,20474183,2013-05-08
ISLAY,0.00,0.10,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.10,2012-12-31,21105675,2013-05-08
JETTE,1.50,0.10,0.00,0.00,1.60,1.50,0.10,0.00,0.00,1.60,2012-12-31,21613906,2013-05-08
JOTUN,23.40,1.10,0.00,0.00,24.50,0.70,0.20,0.00,0.00,0.90,2012-12-31,43604,2013-05-08
KNARR,11.90,0.30,0.80,0.00,13.72,11.90,0.30,0.80,0.00,13.72,2012-12-31,20460988,2013-05-08
KRISTIN,22.90,28.70,6.30,2.10,65.67,6.00,9.70,2.30,0.00,20.07,2012-12-31,1854729,2013-05-08
KVITEBJØRN,27.30,89.10,11.50,0.00,138.25,9.80,49.80,8.10,0.00,74.99,2012-12-31,1036101,2013-05-08
LILLE-FRIGG,1.30,2.20,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,2012-12-31,43583,2013-05-08
MARTIN LINGE,6.00,19.70,0.70,3.00,30.03,6.00,19.70,0.70,3.00,30.03,2012-12-31,21675447,2013-05-08
MARULK,0.70,8.40,0.90,0.00,10.81,0.60,7.80,0.90,0.00,10.11,2012-12-31,18212090,2013-05-08
MIKKEL,6.60,31.40,8.60,2.20,56.54,3.30,15.80,4.40,0.00,27.46,2012-12-31,1630514,2013-05-08
MIME,0.40,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,2012-12-31,43792,2013-05-08
MORVIN,9.30,4.50,1.10,0.00,15.89,5.60,4.50,1.10,0.00,12.19,2012-12-31,4966234,2013-05-08
MURCHISON,13.90,0.40,0.00,0.00,14.30,0.00,0.00,0.00,0.00,0.00,2012-12-31,43665,2013-05-08
NJORD,28.50,17.20,3.90,0.00,53.11,3.00,9.40,2.10,0.00,16.39,2012-12-31,43751,2013-05-08
NORDØST FRIGG,0.00,11.60,0.00,0.10,11.70,0.00,0.00,0.00,0.00,0.00,2012-12-31,43568,2013-05-08
NORNE,90.80,12.00,1.60,0.00,105.84,3.80,5.40,0.80,0.00,10.72,2012-12-31,43778,2013-05-08
ODIN,0.00,27.30,0.00,0.20,27.50,0.00,0.00,0.00,0.00,0.00,2012-12-31,43610,2013-05-08
ORMEN LANGE,0.00,306.30,0.00,16.70,323.00,0.00,207.70,0.00,9.10,216.80,2012-12-31,2762452,2013-05-08
OSEBERG,384.60,104.10,12.10,0.00,511.69,22.70,69.20,3.80,0.00,99.12,2012-12-31,43625,2013-05-08
OSEBERG SØR,61.00,16.00,1.60,0.00,80.04,17.20,8.00,1.60,0.00,28.24,2012-12-31,43645,2013-05-08
OSEBERG ØST,26.70,0.40,0.30,0.00,27.67,7.90,0.10,0.30,0.00,8.57,2012-12-31,43639,2013-05-08
OSELVAR,4.60,3.90,0.00,0.00,8.50,4.50,3.90,0.00,0.00,8.40,2012-12-31,5506919,2013-05-08
REV,0.70,2.70,0.10,0.00,3.59,0.00,0.00,0.00,0.00,0.00,2012-12-31,4467554,2013-05-08
RINGHORNE ØST,15.50,0.40,0.00,0.00,15.90,6.30,0.10,0.00,0.00,6.40,2012-12-31,3505505,2013-05-08
SIGYN,0.00,6.90,2.60,6.40,18.24,0.00,0.70,0.20,0.60,1.68,2012-12-31,1630100,2013-05-08
SKARV,15.50,43.40,5.60,0.00,69.54,15.50,43.40,5.60,0.00,69.54,2012-12-31,4704482,2013-05-08
SKIRNE,2.20,10.20,0.00,0.00,12.40,0.50,1.30,0.00,0.00,1.80,2012-12-31,2138816,2013-05-08
SKULD,13.40,0.60,0.10,0.00,14.19,13.40,0.60,0.10,0.00,14.19,2012-12-31,21350124,2013-05-08
SLEIPNER VEST,0.00,133.30,9.50,32.90,184.25,0.00,19.80,1.50,4.50,27.15,2012-12-31,43457,2013-05-08
SLEIPNER ØST,0.00,67.80,13.50,27.00,120.45,0.00,1.50,0.40,0.20,2.46,2012-12-31,43478,2013-05-08
SNORRE,249.90,6.60,4.70,0.00,265.43,64.10,0.30,0.10,0.00,64.59,2012-12-31,43718,2013-05-08
SNØHVIT,0.00,176.70,6.40,22.60,211.46,0.00,156.90,5.40,19.00,186.16,2012-12-31,2053062,2013-05-08
STATFJORD,570.40,77.40,23.00,1.10,692.60,4.30,11.40,6.10,0.60,27.89,2012-12-31,43658,2013-05-08
STATFJORD NORD,39.50,2.10,1.10,0.00,43.69,3.00,0.00,0.30,0.00,3.57,2012-12-31,43679,2013-05-08
STATFJORD ØST,36.80,4.00,2.10,0.00,44.79,0.70,0.10,0.80,0.00,2.32,2012-12-31,43672,2013-05-08
SVALIN,12.10,0.00,0.00,0.00,12.10,12.10,0.00,0.00,0.00,12.10,2012-12-31,22507971,2013-05-08
SYGNA,11.00,0.00,0.00,0.00,11.00,1.10,0.00,0.00,0.00,1.10,2012-12-31,104718,2013-05-08
TAMBAR,9.50,2.00,0.50,0.00,12.45,0.60,0.00,0.20,0.00,0.98,2012-12-31,1028599,2013-05-08
TAMBAR ØST,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,2012-12-31,4999528,2013-05-08
TOMMELITEN GAMMA,3.90,9.70,0.50,0.00,14.55,0.00,0.00,0.00,0.00,0.00,2012-12-31,43444,2013-05-08
TOR,24.30,10.90,1.20,0.00,37.48,0.40,0.10,0.00,0.00,0.50,2012-12-31,43520,2013-05-08
TORDIS,61.20,4.60,1.80,0.00,69.22,6.00,0.40,0.20,0.00,6.78,2012-12-31,43725,2013-05-08
TROLL,263.80,1432.80,27.50,1.50,1750.35,36.00,984.90,21.10,2.80,1058.19,2012-12-31,46437,2013-05-08
TRYM,1.50,4.30,0.00,0.00,5.80,0.80,3.20,0.00,0.00,4.00,2012-12-31,18081500,2013-05-08
TUNE,3.30,18.30,0.20,0.00,21.98,0.00,0.00,0.00,0.00,0.00,2012-12-31,853376,2013-05-08
TYRIHANS,32.40,41.70,10.90,0.00,94.81,16.50,40.90,10.70,0.00,77.73,2012-12-31,3960848,2013-05-08
ULA,87.90,3.90,4.00,0.00,99.40,15.70,0.00,1.40,0.00,18.36,2012-12-31,43800,2013-05-08
URD,7.00,0.20,0.00,0.00,7.20,2.00,0.00,0.00,0.00,2.00,2012-12-31,2834734,2013-05-08
VALE,2.40,2.30,0.00,0.00,4.70,1.10,1.30,0.00,0.00,2.40,2012-12-31,1578893,2013-05-08
