blkId,blkLabel,qdrName,blkName,prvName,apaAreaType,urlNPD,apaAreaNetGeometryWKT
"130","16/10","16","10","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002465886 58.0333329899572,2.00000002472167 58.0999999899773,2.08333302215542 58.099999990653,2.08333302214124 58.0833329906482,2.28333301692443 58.0833329921214,2.28333301696869 58.1499999921373,2.33333301584613 58.1499999924738,2.33333334917946 58.1499999924738,2.33333334908574 57.9999999924398,2.28333301686892 57.9999999921018,2.28333301689115 58.0333329921096,2.00000002465886 58.0333329899572))"
"316","6201/7","6201","7","M3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.09932627624953 62.383332983299,1.0833334202172 62.4036916497934,1.08333342018175 62.4036916498384,1.07385008786227 62.4157444274683,1.07347231012501 62.4162055385736,1.07347231012363 62.4162055385753,1.07347231009441 62.4162055386109,1.073094532385 62.4166666496822,1.03825009336107 62.4591166471766,1.03825009161902 62.459116649299,1.00393898426185 62.499999982248,1.33333339841499 62.4999999860144,1.33333339821244 62.3833329859206,1.33333306487913 62.3833329859206,1.09932627624953 62.383332983299))"
"127","16/7","16","7","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.01666702432612 58.249999990161,2.00000002486233 58.2499999900235,2.00000002487792 58.2666669900287,2.01666702434139 58.2666669901662,2.01666702432612 58.249999990161))"
"127","16/7","16","7","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.33333301590826 58.2499999924969,2.15000002039287 58.2499999912072,2.15000002040584 58.2666669912117,2.11666702133263 58.2666669909592,2.11666702135963 58.2999999909686,2.06666702282165 58.2999999905792,2.06666702283599 58.3166669905842,2.05000002334301 58.3166669904515,2.05000002332838 58.2999999904465,2.03333302384508 58.2999999903122,2.03333302386001 58.3166669903173,2.00000002492458 58.3166669900443,2.00000002494011 58.3333329900496,2.03333302387492 58.3333329903224,2.03333302390473 58.3666669903326,2.10000002189245 58.3666669908596,2.10000002187872 58.3499999908547,2.26666701749301 58.3499999920719,2.26666701759331 58.4999999921099,2.33333301606237 58.4999999925562,2.33333301590826 58.2499999924969))"
"41","7/7","7","7","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.22893196938504 57.3833329918455,2.21230001814524 57.4166666581284,2.17058335264615 57.4999999910652,2.17058335259389 57.4999999911701,2.25000001730013 57.4999999917537,2.25000001725267 57.433332991739,2.30000001611419 57.4333329920908,2.30000001610302 57.4166669920873,2.33333301538199 57.4166669923151,2.33333301541412 57.4666669923253,2.33333334874744 57.4666669923253,2.33333334864009 57.2999999922916,2.33333301530677 57.2999999922916,2.3333330153498 57.366666992305,2.30000001606946 57.3666669920768,2.30000001608065 57.3833329920803,2.22893196938504 57.3833329918455))"
"127","16/7","16","7","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.08333302228255 58.249999990696,2.03333302380023 58.249999990297,2.03333302381519 58.2666669903021,2.08333302229663 58.2666669907008,2.08333302228255 58.249999990696))"
"196","24/9","24","9","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.79683987086885 59.4333329886926,1.81666703287449 59.4666669888859,1.86666703084642 59.4666669893271,1.86666703082902 59.4499999893203,1.95000002769681 59.4499999900247,1.95000002768106 59.4333329900184,1.79683987086885 59.4333329886926))"
"127","16/7","16","7","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.06666702299301 58.4999999906393,2.10000002200197 58.4999999908987,2.10000002191989 58.3999999908693,2.03333302393449 58.3999999903429,2.03333302397906 58.4499999903584,2.06666702295031 58.4499999906242,2.06666702299301 58.4999999906393))"
"195","24/6","24","6","N2","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.89673447425938 59.599999989639,1.90000002969026 59.5999999896666,1.90000002967364 59.5833329896599,1.96666702722852 59.5833329902113,1.96666702724385 59.5999999902176,1.95000002783803 59.5999999900821,1.95000002785366 59.6166669900886,1.93333302845965 59.6166669899517,1.93333302847559 59.6333329899582,1.96666702727449 59.6333329902303,2.00000002611867 59.6333329904965,2.0000000260598 59.5666669904718,1.900000029657 59.5666669896532,1.90000002959035 59.4999999896265,1.83645603209411 59.4999999890762,1.83645558764968 59.4999999890762,1.83645558765497 59.499999989085,1.89673447425938 59.599999989639))"
"41","7/7","7","7","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.29514168276441 57.2499999920191,2.27863699945281 57.28333299225,2.30000001601336 57.2833329920597,2.30000001600774 57.274999992058,2.31666701564552 57.274999992173,2.31666701564001 57.2666669921713,2.32500001546171 57.2666669922283,2.3250000154508 57.249999992225,2.29514168276441 57.2499999920191))"
