wlbWellboreName,wlbDrillingOperator,wlbProductionLicence,wlbWellType,wlbPurposePlanned,wlbContent,wlbEntryDate,wlbCompletionDate,wlbField,wlbMainArea,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNpdidWellbore,dateSyncNPD
1/9-4,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,1977-08-13,1978-01-12,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,3.76,N,2,56,0.29,E,56.484378,2.933414,6260132.83,495899.06,31,247,2013-05-08
1/9-4 R,Den norske stats oljeselskap a.s,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,1991-04-21,1991-04-26,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,3.76,N,2,56,0.29,E,56.484378,2.933414,6260132.83,495899.06,31,1727,2013-05-08
1/9-5,Den norske stats oljeselskap a.s,044,EXPLORATION,APPRAISAL,DRY,1978-10-03,1978-12-16,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,27.69,N,2,57,55.27,E,56.491025,2.965353,6260871.29,497866.50,31,248,2013-05-08
1/9-6 S,Den norske stats oljeselskap a.s,044,EXPLORATION,APPRAISAL,GAS/CONDENSATE,1982-03-21,1982-12-01,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,3.85,N,2,56,0.14,E,56.484403,2.933372,6260135.61,495896.49,31,44,2013-05-08
1/9-6 SR,Den norske stats oljeselskap a.s,044,EXPLORATION,APPRAISAL,GAS/CONDENSATE,1991-04-06,1991-04-20,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,3.85,N,2,56,0.14,E,56.484403,2.933372,6260135.61,495896.49,31,1558,2013-05-08
1/9-7,Phillips Petroleum Company Norway,044,EXPLORATION,WILDCAT,GAS/CONDENSATE,2003-03-22,2003-08-02,NULL,NORTH SEA,ED50,56,24,31.23,N,2,52,55,E,56.408675,2.881944,6251710.63,492714.66,31,4652,2013-05-08
1/9-A-1 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1986-09-22,1986-11-24,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.76,N,2,55,27.66,E,56.492156,2.924350,6260999.16,495341.78,31,1006,2013-05-08
1/9-A-1 AH,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1987-04-05,1987-05-06,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.76,N,2,55,27.66,E,56.492156,2.924350,6260999.16,495341.78,31,1077,2013-05-08
1/9-A-2 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1986-11-19,1987-01-04,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.66,N,2,55,26.88,E,56.492128,2.924133,6260996.08,495328.43,31,1016,2013-05-08
1/9-A-3 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1987-01-04,1987-02-19,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.5,N,2,55,27.13,E,56.492083,2.924203,6260991.13,495332.71,31,1021,2013-05-08
1/9-A-4 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1987-02-21,1987-03-31,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.92,N,2,55,27.41,E,56.492200,2.924281,6261004.11,495337.51,31,1035,2013-05-08
1/9-A-5 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1987-12-31,1988-02-19,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.63,N,2,55,27.39,E,56.492119,2.924275,6260995.14,495337.16,31,1059,2013-05-08
1/9-A-6 H,Den norske stats oljeselskap a.s,044,DEVELOPMENT,PRODUCTION,GAS,1988-02-20,1988-04-18,TOMMELITEN GAMMA,NORTH SEA,ED50,56,29,31.79,N,2,55,27.14,E,56.492164,2.924206,6261000.09,495332.89,31,1244,2013-05-08
1/9-U-1,Den norske stats oljeselskap a.s,NULL,SHALLOW,NULL,NULL,1986-05-06,1986-05-07,NULL,NORTH SEA,ED50,56,29,31.72,N,2,55,26.74,E,56.492144,2.924094,6260997.94,495326.04,31,980,2013-05-08
2/1-1,Conoco Norway Inc.,019,EXPLORATION,WILDCAT,GAS SHOWS,1972-08-28,1972-11-14,NULL,NORTH SEA,ED50,56,45,26.6,N,3,12,18.8,E,56.757389,3.205222,6290539.34,512548.43,31,249,2013-05-08
2/1-2,BP Norway Limited  U.A.,019 B,EXPLORATION,WILDCAT,DRY,1977-12-14,1978-02-26,NULL,NORTH SEA,ED50,56,57,30.76,N,3,12,32.07,E,56.958544,3.208908,6312932.05,512705.46,31,250,2013-05-08
2/1-3,BP Norway Limited  U.A.,019 B,EXPLORATION,WILDCAT,OIL,1979-11-03,1980-03-29,GYDA,NORTH SEA,ED50,56,54,41.39,N,3,6,30.39,E,56.911497,3.108442,6307680.64,506603.55,31,251,2013-05-08
2/1-4,BP Petroleum Dev. of Norway AS,019 B,EXPLORATION,APPRAISAL,OIL,1982-04-05,1982-08-03,GYDA,NORTH SEA,ED50,56,54,40.59,N,3,4,0.86,E,56.911275,3.066906,6307652.66,504074.24,31,48,2013-05-08
2/1-5,BP Norway Limited  U.A.,019 B,EXPLORATION,WILDCAT,OIL,1982-11-13,1983-04-05,NULL,NORTH SEA,ED50,56,47,54.06,N,3,12,21.39,E,56.798350,3.205942,6295099.08,512578.71,31,63,2013-05-08
2/1-6,BP Norway Limited  U.A.,019 B,EXPLORATION,APPRAISAL,DRY,1984-04-30,1984-08-12,GYDA,NORTH SEA,ED50,56,55,14.81,N,3,1,38.37,E,56.920781,3.027325,6308709.14,501663.54,31,109,2013-05-08
2/1-7,BP Petroleum Dev. of Norway AS,019 B,EXPLORATION,WILDCAT,DRY,1984-09-06,1985-03-06,NULL,NORTH SEA,ED50,56,51,51.32,N,3,5,40.36,E,56.864256,3.094544,6302420.54,505764.55,31,137,2013-05-08
2/1-8,BP Norway Limited  U.A.,019 B,EXPLORATION,APPRAISAL,OIL,1985-07-28,1985-11-23,GYDA,NORTH SEA,ED50,56,53,40.63,N,3,6,55.95,E,56.894619,3.115542,6305802.54,507039.08,31,459,2013-05-08
2/1-9,BP Norway Limited  U.A.,019 B,EXPLORATION,APPRAISAL,OIL,1991-04-15,1991-07-06,GYDA,NORTH SEA,ED50,56,51,37.77,N,3,5,4.77,E,56.860492,3.084658,6302000.77,505162.30,31,1667,2013-05-08
2/1-9 A,BP Norway Limited  U.A.,019 B,EXPLORATION,APPRAISAL,OIL,1992-01-18,1992-03-08,GYDA,NORTH SEA,ED50,56,51,37.77,N,3,5,4.77,E,56.860492,3.084658,6302000.77,505162.30,31,1867,2013-05-08
2/1-10,BP Norway Limited  U.A.,164,EXPLORATION,WILDCAT,OIL SHOWS,1991-11-09,1992-01-14,NULL,NORTH SEA,ED50,56,57,53.61,N,3,1,19.7,E,56.964892,3.022139,6313619.42,501346.22,31,1865,2013-05-08
2/1-11,BP Norway Limited  U.A.,019 B,EXPLORATION,WILDCAT,OIL,1997-01-14,1997-05-07,NULL,NORTH SEA,ED50,56,47,35.28,N,3,3,58.16,E,56.793133,3.066156,6294501.41,504041.28,31,2699,2013-05-08
2/1-12,BP Norway Limited  U.A.,019 C,EXPLORATION,WILDCAT,DRY,1999-01-08,1999-02-10,NULL,NORTH SEA,NULL,56,52,13.28,N,3,18,46.44,E,56.870356,3.312900,6303139.22,519074.96,31,3648,2013-05-08
2/1-13 S,Talisman Energy Norge AS,299,EXPLORATION,WILDCAT,OIL/GAS SHOWS,2008-11-07,2009-03-07,NULL,NORTH SEA,ED50,56,47,9.5,N,3,2,29.72,E,56.785972,3.041589,6293703.09,502541.05,31,5975,2013-05-08
2/1-14 S,Talisman Energy Norge AS,019 B,EXPLORATION,WILDCAT,DRY,2008-12-07,2009-02-28,NULL,NORTH SEA,ED50,56,54,17.31,N,3,5,6.38,E,56.904808,3.085106,6306934.03,505183.43,31,5995,2013-05-08
2/1-16 S,Talisman Energy Norge AS,299,EXPLORATION,WILDCAT,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,56,51,1.72,N,3,18,52.69,E,56.850478,3.314636,6300926.97,519190.97,31,7180,2013-05-08
2/1-A-1,BP Norway Limited  U.A.,019 B,DEVELOPMENT,PRODUCTION,OIL,1989-05-08,1990-10-13,GYDA,NORTH SEA,ED50,56,54,17.55,N,3,5,7.04,E,56.904875,3.085289,6306941.47,505194.59,31,1385,2013-05-08
2/1-A-2,BP Norway Limited  U.A.,019 B,DEVELOPMENT,PRODUCTION,OIL,1989-02-21,1990-08-29,GYDA,NORTH SEA,ED50,56,54,17.61,N,3,5,6.93,E,56.904892,3.085258,6306943.32,505192.72,31,1368,2013-05-08
2/1-A-2 A,Talisman Energy Norge AS,019 B,DEVELOPMENT,PRODUCTION,OIL,2007-02-17,2007-04-19,GYDA,NORTH SEA,ED50,56,54,17.61,N,3,5,6.93,E,56.904892,3.085258,6306943.32,505192.72,31,5503,2013-05-08
2/1-A-3,BP Norway Limited  U.A.,019 B,DEVELOPMENT,INJECTION,WATER,1988-09-26,1990-09-19,GYDA,NORTH SEA,ED50,56,54,17.67,N,3,5,6.82,E,56.904908,3.085228,6306945.17,505190.86,31,54,2013-05-08
2/1-A-4,BP Norway Limited  U.A.,019 B,DEVELOPMENT,PRODUCTION,OIL,1988-05-05,1988-06-18,GYDA,NORTH SEA,ED50,56,54,17.73,N,3,5,6.71,E,56.904925,3.085197,6306947.03,505189.00,31,1263,2013-05-08
2/1-A-5,BP Norway Limited  U.A.,019 B,DEVELOPMENT,INJECTION,WATER,1988-03-18,1988-05-05,GYDA,NORTH SEA,ED50,56,54,17.49,N,3,5,6.93,E,56.904858,3.085258,6306939.61,505192.73,31,1252,2013-05-08
2/1-A-6,BP Norway Limited  U.A.,019 B,DEVELOPMENT,PRODUCTION,OIL,1988-07-28,1988-09-25,GYDA,NORTH SEA,ED50,56,54,17.55,N,3,5,6.82,E,56.904875,3.085228,6306941.46,505190.86,31,1300,2013-05-08
2/1-A-6 A,BP Norway Limited  U.A.,019 B,DEVELOPMENT,PRODUCTION,OIL,1990-11-09,1991-04-15,GYDA,NORTH SEA,ED50,56,54,17.55,N,3,5,6.82,E,56.904875,3.085228,6306941.46,505190.86,31,1685,2013-05-08
