fldName,fldOwnerKind,fldOwnerName,fldOwnershipFromDate,fldOwnershipToDate,fldNpdidField,fldNpdidOwner,fldOwnerDateUpdated,dateSyncNPD
HYME,PRODUCTION LICENSE,348,2011-06-24,9999-12-31,20474183,2987047,9999-12-31,2013-05-08
ISLAY,PRODUCTION LICENSE,043 CS,2010-07-05,9999-12-31,21105675,18116800,9999-12-31,2013-05-08
JETTE,BUSINESS ARRANGEMENT AREA,JETTE UNIT,2012-02-17,9999-12-31,21613906,21077388,9999-12-31,2013-05-08
JOTUN,PRODUCTION LICENSE,027 P,1997-06-10,1997-12-31,43604,20996,9999-12-31,2013-05-08
JOTUN,BUSINESS ARRANGEMENT AREA,JOTUN UNIT,1998-01-01,9999-12-31,43604,40655,9999-12-31,2013-05-08
KNARR,PRODUCTION LICENSE,373 S,2011-06-09,9999-12-31,20460988,3811116,9999-12-31,2013-05-08
KRISTIN,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,2001-12-17,9999-12-31,1854729,1854695,9999-12-31,2013-05-08
KVITEBJØRN,PRODUCTION LICENSE,193,2000-06-14,9999-12-31,1036101,22356,9999-12-31,2013-05-08
LILLE-FRIGG,PRODUCTION LICENSE,026,1991-09-06,2002-05-24,43583,20980,9999-12-31,2013-05-08
LILLE-FRIGG,PRODUCTION LICENSE,362,2006-01-06,9999-12-31,43583,3810565,9999-12-31,2013-05-08
MARTIN LINGE,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,2012-06-11,9999-12-31,21675447,3812119,9999-12-31,2013-05-08
MARULK,PRODUCTION LICENSE,122,2010-07-15,9999-12-31,18212090,21788,9999-12-31,2013-05-08
MIKKEL,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,2001-09-14,9999-12-31,1630514,1629477,9999-12-31,2013-05-08
MIME,PRODUCTION LICENSE,070,1992-11-06,1999-12-31,43792,21356,9999-12-31,2013-05-08
MIME,PRODUCTION LICENSE,301,2003-12-12,9999-12-31,43792,2490380,9999-12-31,2013-05-08
MORVIN,PRODUCTION LICENSE,134 B,2000-04-25,9999-12-31,4966234,1025257,9999-12-31,2013-05-08
MURCHISON,BUSINESS ARRANGEMENT AREA,MURCHISON UNIT,1979-04-01,9999-12-31,43665,42302,9999-12-31,2013-05-08
NJORD,BUSINESS ARRANGEMENT AREA,NJORD UNIT,1995-06-12,9999-12-31,43751,40585,9999-12-31,2013-05-08
