baaName,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyNationCode2,baaAreaPolyBlockName,baaAreaPolyNo,baaAreaPolyArea,baaNpdidBsnsArrArea,baaAreaPolyDateUpdated,dateSyncNPD
SA-G,1997-05-30,2004-07-05,NO,7130/9,16,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/10,17,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/10,18,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/11,19,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7131/1,20,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7131/4,21,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7131/7,22,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7131/4,23,0.000,1631599,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,UNKNOWN,1,2994.125,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,26/2,2,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,26/5,3,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,26/7,4,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,26/8,5,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,31/10,6,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2004-02-11,2006-12-22,NO,31/11,7,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,UNKNOWN,1,4175.938,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/1,2,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/2,3,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/4,4,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/5,5,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/7,6,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,26/8,7,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,31/10,8,0.000,1631767,9999-12-31,2013-05-08
SA-SB,2001-04-27,2004-02-11,NO,31/10,9,0.000,1631767,9999-12-31,2013-05-08
SKARV UNIT,2007-06-28,9999-12-31,NO,6507/5,1,203.893,4468539,9999-12-31,2013-05-08
SKARV UNIT,2007-06-28,9999-12-31,NO,6507/6,2,14.218,4468539,9999-12-31,2013-05-08
SKARV UNIT,2007-06-28,9999-12-31,NO,6507/2,3,38.292,4468539,9999-12-31,2013-05-08
SKARV UNIT,2007-06-28,9999-12-31,NO,6507/3,4,22.616,4468539,9999-12-31,2013-05-08
SKARV UNIT,2007-06-28,9999-12-31,NO,6507/3,5,55.650,4468539,9999-12-31,2013-05-08
SLEIPNER VEST UNIT,1994-07-01,9999-12-31,NO,15/9,1,131.997,40848,9999-12-31,2013-05-08
SLEIPNER VEST UNIT,1994-07-01,9999-12-31,NO,15/8,2,25.300,40848,9999-12-31,2013-05-08
SLEIPNER VEST UNIT,1994-07-01,9999-12-31,NO,15/6,3,34.710,40848,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,2006-11-28,9999-12-31,NO,15/9,1,96.651,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,2006-11-28,9999-12-31,NO,15/9,2,25.305,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,2006-11-28,9999-12-31,NO,15/9,3,70.387,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,1993-01-15,2006-11-28,NO,15/9,3,70.387,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,1993-01-15,2006-11-28,NO,15/9,4,11.486,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,1993-01-15,2006-11-28,NO,15/9,1,98.459,41211,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,1993-01-15,2006-11-28,NO,15/9,2,25.305,41211,9999-12-31,2013-05-08
SNORRE UNIT,1996-03-06,9999-12-31,NO,34/4,1,92.192,40906,9999-12-31,2013-05-08
SNORRE UNIT,1996-03-06,9999-12-31,NO,34/7,2,99.065,40906,9999-12-31,2013-05-08
SNORRE UNIT,1988-05-11,1996-03-06,NO,34/4,1,87.249,40906,9999-12-31,2013-05-08
SNORRE UNIT,1988-05-11,1996-03-06,NO,34/7,2,89.160,40906,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/8,1,134.853,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/7,2,76.463,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/9,3,66.043,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/6,4,93.884,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/6,5,39.503,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7121/4,6,98.171,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7121/7,7,77.025,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7120/5,8,44.850,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7121/5,9,28.405,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7121/5,10,15.242,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2012-01-01,9999-12-31,NO,7121/5,11,15.368,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/8,1,163.432,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/7,2,107.346,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/9,3,66.043,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/6,4,93.884,1333943,9999-12-31,2013-05-08
