wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
25/10-5,DST,DST2,1740.00,1732.00,NULL,1981-07-12,1991-06-21,365,9999-12-31,2013-05-08
25/10-8,DST,DST1,2392.00,2398.00,NULL,1997-03-30,1997-11-13,2955,9999-12-31,2013-05-08
25/1-1,DST,NULL,0.00,0.00,NULL,1971-07-06,1995-08-09,190,9999-12-31,2013-05-08
25/1-11,DST,NULL,0.00,2119.90,CONDENSATE,9999-12-31,2010-04-23,6187,9999-12-31,2013-05-08
25/1-11,FMT,NULL,0.00,2158.00,OIL,9999-12-31,2011-12-13,6187,9999-12-31,2013-05-08
25/11-14 S,DST,TEST1,1992.20,2015.20,NULL,1990-11-23,1990-12-04,1672,9999-12-31,2013-05-08
25/11-15,DST,DST1,1736.00,1775.00,NULL,1991-12-18,1992-01-10,1872,9999-12-31,2013-05-08
25/11-18,DST,NULL,0.00,0.00,NULL,1994-10-14,1994-10-18,2358,9999-12-31,2013-05-08
25/11-21 A,DST,NULL,0.00,0.00,NULL,1996-05-01,1996-08-19,2812,9999-12-31,2013-05-08
25/11-25 S,DST,NULL,0.00,0.00,CONDENSATE,9999-12-31,2011-03-10,5642,9999-12-31,2013-05-08
25/11-5,DST,DST1,1750.00,1765.00,NULL,1974-04-30,1991-06-21,366,9999-12-31,2013-05-08
25/11-6,DST,DST1,1725.00,1740.00,NULL,1978-09-21,1991-06-21,367,9999-12-31,2013-05-08
25/11-8,DST,DST1,1720.00,1735.00,NULL,1979-09-11,1991-06-21,369,9999-12-31,2013-05-08
25/2-10 S,RFT,RFT-5,0.00,2252.00,NULL,1986-02-14,1995-08-09,855,9999-12-31,2013-05-08
25/2-13,DST,NULL,2252.00,0.00,NULL,1986-02-14,1995-08-09,1459,9999-12-31,2013-05-08
25/2-13,DST,DST2B,2706.00,2713.00,NULL,1989-12-20,9999-12-31,1459,9999-12-31,2013-05-08
25/2-13,DST,DST3B,0.00,3396.96,WATER,1990-01-01,1995-08-09,1459,9999-12-31,2013-05-08
25/2-13,DST,DST4,3403.00,3411.00,WATER,1990-01-07,1991-10-28,1459,9999-12-31,2013-05-08
25/2-13,DST,DST5,3343.00,3382.00,OIL,1990-01-15,1991-10-28,1459,9999-12-31,2013-05-08
25/2-13,DST,DST5,3343.00,3382.00,NULL,1990-01-15,1991-10-28,1459,9999-12-31,2013-05-08
25/2-13,DST,DST5,3343.00,3382.00,NULL,1990-01-15,1991-10-28,1459,9999-12-31,2013-05-08
25/2-6,DST,NULL,3561.00,0.00,NULL,9999-12-31,1995-08-09,358,9999-12-31,2013-05-08
25/2-6,DST,NULL,3267.00,0.00,NULL,9999-12-31,1995-08-09,358,9999-12-31,2013-05-08
25/2-6,RFT,NULL,3561.00,0.00,NULL,9999-12-31,9999-12-31,358,9999-12-31,2013-05-08
25/2-6,RFT,NULL,3267.50,0.00,NULL,9999-12-31,9999-12-31,358,9999-12-31,2013-05-08
25/4-1,DST,NULL,0.00,0.00,NULL,9999-12-31,1995-08-09,359,9999-12-31,2013-05-08
25/4-5,DST,TEST1,4154.00,4176.00,NULL,1981-03-15,1995-08-09,201,9999-12-31,2013-05-08
25/4-5,DST,DST2,4065.00,4088.00,NULL,1981-03-09,1995-08-09,201,9999-12-31,2013-05-08
25/4-6 S,DST,DST1,3802.00,3819.00,NULL,1991-08-14,1992-04-01,1703,9999-12-31,2013-05-08
25/4-7,MDT,NULL,0.00,2110.00,OIL,2003-04-14,2011-08-06,4716,9999-12-31,2013-05-08
25/4-8,DST,NULL,0.00,2120.00,OIL,9999-12-31,2003-06-16,4765,9999-12-31,2013-05-08
25/5-1,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-10-28,884,9999-12-31,2013-05-08
25/5-1,DST,DST3,3002.00,2987.00,NULL,9999-12-31,1991-10-28,884,9999-12-31,2013-05-08
25/5-1,DST,DST3B,3002.00,2987.00,NULL,1987-07-31,1991-10-28,884,9999-12-31,2013-05-08
25/5-2,DST,DST2,3196.00,3201.00,NULL,1989-06-27,1991-10-28,1346,9999-12-31,2013-05-08
25/5-3,DST,DST1,2386.00,2405.00,NULL,1990-03-08,1991-10-28,1488,9999-12-31,2013-05-08
25/5-5,DST,NULL,2169.50,2158.80,NULL,1995-11-15,9999-12-31,2661,9999-12-31,2013-05-08
25/6-1,DST,DST1,2277.00,2280.00,OIL,1986-01-30,1991-02-20,524,9999-12-31,2013-05-08
25/7-2,DST,NULL,4148.00,4273.00,NULL,1990-07-11,1991-07-22,1494,9999-12-31,2013-05-08
25/7-3,DST,DST1,2107.40,2096.40,OIL,1995-08-22,1996-04-15,2623,9999-12-31,2013-05-08
25/7-5,DST,DST1,2043.00,2052.00,NULL,1997-08-18,1997-08-28,3132,9999-12-31,2013-05-08
25/8-1,DST,TEST1,1762.00,1755.00,NULL,1970-06-30,1991-06-21,173,9999-12-31,2013-05-08
25/8-11,DST,DST1,1910.00,1893.00,NULL,1997-11-15,1997-12-03,3209,9999-12-31,2013-05-08
25/8-11,DST,NULL,1910.00,1893.00,NULL,1997-11-15,1997-12-03,3209,9999-12-31,2013-05-08
25/8-14 S,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,4805,9999-12-31,2013-05-08
25/8-5 S,DST,DST1,2149.00,2118.00,NULL,1994-09-15,1994-09-26,2390,9999-12-31,2013-05-08
29/3-1,DST,DST1B,3807.00,3810.00,NULL,1986-08-24,1990-11-30,904,9999-12-31,2013-05-08
29/3-1,DST,DST2B,3725.00,3682.00,NULL,1986-09-02,1990-11-30,904,9999-12-31,2013-05-08
29/3-1,DST,DST2C,3699.00,3682.00,NULL,1986-09-05,1990-11-30,904,9999-12-31,2013-05-08
3/7-2,RFT,NULL,2909.00,0.00,WATER,9999-12-31,1995-08-09,220,9999-12-31,2013-05-08
3/7-4,DST,DST1A,3440.00,3537.00,NULL,1990-01-01,1991-03-06,1467,9999-12-31,2013-05-08
3/7-4,DST,DST1B,3470.00,3440.00,NULL,1990-01-03,1991-03-06,1467,9999-12-31,2013-05-08
3/7-A-1 AH,DST,PROD TEST,4934.00,4254.00,CONDENSATE,2011-01-27,2011-01-30,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,DST,NULL,4394.00,4254.00,OIL,9999-12-31,2012-10-25,6469,9999-12-31,2013-05-08
3/7-A-1 AH,PROD,PROD TEST,4934.00,4254.00,CONDENSATE,2011-01-29,2011-01-30,6469,9999-12-31,2013-05-08
30/2-1,DST,DST1,3785.00,3792.00,NULL,1982-09-23,1991-10-01,72,9999-12-31,2013-05-08
30/2-1,DST,DST2,3761.00,3771.00,NULL,1982-09-30,1991-10-01,72,9999-12-31,2013-05-08
30/2-1,DST,DST2B,0.00,0.00,OIL,1982-09-25,1991-10-01,72,9999-12-31,2013-05-08
30/2-1,DST,DST3,3720.00,3728.00,NULL,1982-10-07,1991-10-01,72,9999-12-31,2013-05-08
30/2-2,DST,TEST3,3935.00,3974.00,NULL,1985-04-23,1991-10-01,457,9999-12-31,2013-05-08
30/2-3,DST,DST1,3895.00,0.00,NULL,1992-09-09,1992-10-12,1970,9999-12-31,2013-05-08
30/2-3,DST,DST2,3874.00,0.00,NULL,1992-09-15,1992-10-12,1970,9999-12-31,2013-05-08
30/2-3,DST,DST3,3794.00,0.00,NULL,1992-09-23,1992-10-12,1970,9999-12-31,2013-05-08
30/3-2,DST,TEST1,2916.00,2923.00,NULL,1980-12-23,1991-10-01,203,9999-12-31,2013-05-08
30/3-2,DST,TEST2C,2870.00,2874.00,NULL,1981-01-24,1991-10-01,203,9999-12-31,2013-05-08
30/3-4,DST,TEST1,3079.00,3096.00,NULL,1985-05-01,1991-10-01,460,9999-12-31,2013-05-08
30/3-4,DST,TEST3,2903.00,2923.00,NULL,1985-05-21,1991-10-01,460,9999-12-31,2013-05-08
30/3-4,DST,TEST4,2866.00,2882.00,OIL,1985-05-24,1991-10-01,460,9999-12-31,2013-05-08
30/3-4,DST,TEST5,2850.00,2857.00,OIL,1985-06-02,1991-11-05,460,9999-12-31,2013-05-08
30/3-9,DST,NULL,0.00,0.00,CONDENSATE,9999-12-31,2011-03-10,4053,9999-12-31,2013-05-08
30/3-A-1,DST,NULL,2876.50,0.00,NULL,9999-12-31,1991-11-05,1080,9999-12-31,2013-05-08
30/3-A-1,DST,"TEST1,1   ",3234.00,3250.00,NULL,1987-09-08,1991-11-05,1080,9999-12-31,2013-05-08
30/3-A-1,DST,TEST2,3071.00,3088.00,NULL,1987-09-14,1991-11-05,1080,9999-12-31,2013-05-08
30/3-A-13,DST,PRODTEST,5028.50,5026.50,NULL,1992-06-01,1992-07-02,1925,9999-12-31,2013-05-08
30/3-A-14,DST,NULL,0.00,0.00,NULL,1993-01-27,1993-02-09,1943,9999-12-31,2013-05-08
30/3-A-2,DST,NULL,3498.00,0.00,NULL,9999-12-31,1991-11-05,1175,9999-12-31,2013-05-08
30/3-A-3,DST,NULL,3194.00,0.00,NULL,1988-07-12,1991-11-05,1209,9999-12-31,2013-05-08
30/3-A-4,DST,NULL,3580.00,0.00,NULL,1988-08-07,1991-11-05,1234,9999-12-31,2013-05-08
30/3-A-5,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-11-05,1307,9999-12-31,2013-05-08
30/5-2,DST,DST1B,3601.30,3627.80,NULL,1996-12-04,1996-12-17,2886,9999-12-31,2013-05-08
30/5-2,DST,DST2,3529.00,3591.00,NULL,1996-12-10,1996-12-17,2886,9999-12-31,2013-05-08
30/6-1,DST,DST1,2320.00,2330.00,NULL,1979-09-09,1980-01-01,380,9999-12-31,2013-05-08
30/6-1,DST,DST2,2301.00,2305.00,CONDENSATE,1980-09-15,1980-01-01,380,9999-12-31,2013-05-08
30/6-10,DST,RFT2,0.00,2467.50,NULL,9999-12-31,1991-02-28,92,9999-12-31,2013-05-08
30/6-10 A,DST,TEST1,2600.00,2602.00,NULL,1983-02-07,1991-02-28,56,9999-12-31,2013-05-08
30/6-10 A,DST,DST3,2446.00,2555.00,NULL,1983-02-18,1991-02-28,56,9999-12-31,2013-05-08
30/6-10 A,DST,DST4,2480.00,2487.00,NULL,1983-02-22,1991-02-28,56,9999-12-31,2013-05-08
30/6-13,DST,DST1,2640.00,2650.00,NULL,1983-04-27,1991-02-28,7,9999-12-31,2013-05-08
30/6-14,DST,DST1A,2783.00,2788.00,NULL,1984-01-29,1991-02-28,53,9999-12-31,2013-05-08
30/6-15,DST,DST2,3323.80,3330.40,NULL,1984-08-14,1991-02-28,110,9999-12-31,2013-05-08
30/6-15,DST,DST3,3265.00,3250.00,NULL,1984-08-28,1991-02-28,110,9999-12-31,2013-05-08
30/6-16,DST,DST1,2944.00,2920.00,NULL,1985-01-14,1991-02-28,333,9999-12-31,2013-05-08
30/6-16,DST,DST2,2855.00,2868.00,NULL,1985-01-18,1991-02-28,333,9999-12-31,2013-05-08
30/6-17,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,487,9999-12-31,2013-05-08
30/6-17 R,DST,DST1,2401.00,2414.00,NULL,1986-10-28,1991-02-28,849,9999-12-31,2013-05-08
30/6-18,DST,DST1A,3307.00,3324.00,NULL,1985-10-20,1991-02-28,488,9999-12-31,2013-05-08
30/6-19,DST,DST1,2945.00,2954.00,OIL,1986-06-06,1991-02-28,489,9999-12-31,2013-05-08
30/6-19,DST,DST2,2907.00,2932.30,OIL,1986-06-11,1991-02-28,489,9999-12-31,2013-05-08
30/6-19,DST,DST3,2876.00,2784.00,NULL,1986-06-15,1991-02-28,489,9999-12-31,2013-05-08
30/6-2,DST,DST1A,2212.00,2222.00,CONDENSATE,1979-12-01,1980-01-01,381,9999-12-31,2013-05-08
30/6-21,DST,DST1,2645.50,2657.50,NULL,9999-12-31,1991-02-28,1037,9999-12-31,2013-05-08
30/6-22,DST,DST1,2917.00,2936.00,OIL,1988-07-08,1991-02-28,1225,9999-12-31,2013-05-08
30/6-22,DST,DST2,2908.75,2912.25,OIL,1988-07-07,1991-02-28,1225,9999-12-31,2013-05-08
30/6-23,DST,NULL,2860.00,2881.00,NULL,9999-12-31,9999-12-31,1545,9999-12-31,2013-05-08
30/6-23,DST,DST2,2827.00,2853.00,NULL,1990-06-18,9999-12-31,1545,9999-12-31,2013-05-08
30/6-23,DST,DST3,2803.00,2812.00,NULL,1990-06-21,9999-12-31,1545,9999-12-31,2013-05-08
30/6-3,DST,TEST1,2476.00,2486.00,CONDENSATE,1980-02-18,1991-11-05,382,9999-12-31,2013-05-08
30/6-4,DST,DST 1,2655.00,2665.00,NULL,1981-04-25,1981-01-01,383,9999-12-31,2013-05-08
30/6-4,DST,DST 2,2630.50,2638.00,NULL,1981-05-04,1981-01-01,383,9999-12-31,2013-05-08
30/6-9,DST,DST5,2460.00,2463.00,NULL,1982-12-10,1991-02-28,83,9999-12-31,2013-05-08
30/8-1 SR,DST,TEST1B,4796.39,4700.00,NULL,1996-02-17,1996-05-15,2719,9999-12-31,2013-05-08
30/8-4 S,DST,NULL,0.00,0.00,OIL,2009-01-19,9999-12-31,5974,9999-12-31,2013-05-08
30/9-1,DST,DST2A,2727.00,2733.00,NULL,1983-01-15,1991-02-28,65,9999-12-31,2013-05-08
30/9-1,DST,DST3,2689.00,2692.00,NULL,1983-01-21,1991-02-28,65,9999-12-31,2013-05-08
30/9-10,DST,DST1A,2757.00,2776.00,NULL,1990-12-10,1991-02-28,1514,9999-12-31,2013-05-08
30/9-10,DST,DST1B,2779.70,2824.70,NULL,1990-12-10,1991-02-28,1514,9999-12-31,2013-05-08
30/9-13 S,DST,TEST1,3086.50,3094.50,OIL,1991-09-14,1991-10-01,1811,9999-12-31,2013-05-08
30/9-13 S,DST,TEST2,3023.90,3072.90,NULL,1991-09-29,1991-10-14,1811,9999-12-31,2013-05-08
30/9-13 S,DST,DST3,2958.10,2986.10,CONDENSATE,1991-10-04,1991-10-14,1811,9999-12-31,2013-05-08
30/9-14,DST,TEST2,3127.00,3084.00,OIL,1993-05-04,1993-05-26,2076,9999-12-31,2013-05-08
30/9-16,DST,DST1,2753.00,2722.00,OIL,1994-04-23,9999-12-31,2361,9999-12-31,2013-05-08
30/9-16,DST,DST2,2694.10,2685.10,OIL,1994-08-02,9999-12-31,2361,9999-12-31,2013-05-08
30/9-19 A,DST,TEST1,3347.00,3363.00,OIL,1998-12-05,1999-01-19,3593,9999-12-31,2013-05-08
30/9-3,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,55,9999-12-31,2013-05-08
30/9-3 A,DST,DST1,2916.00,2910.00,OIL,1984-05-11,1991-02-28,102,9999-12-31,2013-05-08
30/9-4 S,DST,DST1,3422.00,3416.00,OIL,1985-03-11,1991-02-28,452,9999-12-31,2013-05-08
30/9-4 S,DST,DST2,3324.00,3311.00,CONDENSATE,1985-03-20,1991-02-28,452,9999-12-31,2013-05-08
30/9-6,DST,DST1,2637.90,2645.50,OIL,1987-04-08,1991-02-28,1027,9999-12-31,2013-05-08
30/9-6,DST,DST2,2591.50,2596.50,OIL,1987-04-12,1991-02-28,1027,9999-12-31,2013-05-08
30/9-7,DST,TEST1,2811.00,2822.00,NULL,1989-01-01,1991-02-28,1306,9999-12-31,2013-05-08
30/9-8,DST,DST2A,2837.00,2848.00,NULL,1989-09-19,1991-02-28,1421,9999-12-31,2013-05-08
30/9-8,DST,DST2B,2825.00,2848.00,NULL,1989-09-21,1991-02-28,1421,9999-12-31,2013-05-08
30/9-9,DST,TEST1,2394.40,2409.40,OIL,1989-10-26,1991-02-28,1442,9999-12-31,2013-05-08
30/9-9,DST,NULL,2294.60,2310.60,NULL,1989-10-31,1991-02-28,1442,9999-12-31,2013-05-08
31/2-11,DST,NULL,1576.00,1582.00,NULL,1983-05-08,1991-11-05,6,9999-12-31,2013-05-08
31/2-12,DST,DST1,1428.00,1452.00,CONDENSATE,1983-07-30,1991-03-06,14,9999-12-31,2013-05-08
31/2-13 S,DST,DST1,1801.00,1806.00,OIL,1984-03-03,1991-03-06,93,9999-12-31,2013-05-08
31/2-14,DST,TEST-1,1590.00,1583.00,OIL,1984-06-10,1991-03-06,106,9999-12-31,2013-05-08
31/2-15,DST,TEST1,1572.00,1584.00,NULL,1984-10-18,1991-03-06,439,9999-12-31,2013-05-08
31/2-2,DST,NULL,0.00,0.00,NULL,1980-07-02,1991-11-05,227,9999-12-31,2013-05-08
31/2-3,DST,DST1,1577.00,1582.00,WATER,1980-06-06,1991-11-05,236,9999-12-31,2013-05-08
31/2-5,NULL,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,210,9999-12-31,2013-05-08
31/2-5,DST,NULL,0.00,0.00,OIL,1984-04-13,1991-03-06,210,9999-12-31,2013-05-08
31/2-5 R2,DST,NULL,1591.00,1594.00,OIL,1984-04-13,9999-12-31,501,9999-12-31,2013-05-08
31/2-6,DST,TEST1,1576.00,1579.00,NULL,1981-09-20,1991-03-06,399,9999-12-31,2013-05-08
31/2-6,DST,TEST2,1518.00,1536.00,NULL,1981-10-06,1991-03-06,399,9999-12-31,2013-05-08
31/2-7,DST,DST1,1584.00,1590.00,NULL,1982-06-06,1991-03-06,70,9999-12-31,2013-05-08
31/3-1,DST,TEST1,1519.00,1529.00,OIL,1983-09-22,1991-11-05,20,9999-12-31,2013-05-08
31/3-1,DST,TEST2,1373.00,1383.00,NULL,1983-10-04,1991-11-05,20,9999-12-31,2013-05-08
31/4-6,DST,DST1,2159.00,2163.00,NULL,1982-04-14,1991-02-28,43,9999-12-31,2013-05-08
31/4-6,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,43,9999-12-31,2013-05-08
31/4-7,DST,DST1,2398.00,2390.00,NULL,1984-08-31,1991-02-28,235,9999-12-31,2013-05-08
31/4-7,DST,DST2,2039.00,2028.00,CONDENSATE,1984-09-06,1991-02-28,235,9999-12-31,2013-05-08
31/4-9,DST,DST2,2169.60,2171.60,OIL,1987-03-01,1991-11-05,1026,9999-12-31,2013-05-08
31/5-2,DST,DST1,1577.00,1581.00,OIL,1984-07-01,1991-02-20,32,9999-12-31,2013-05-08
31/5-2,DST,DST2,1574.00,1576.00,OIL,1984-08-09,1991-02-20,32,9999-12-31,2013-05-08
