wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
31/5-2,DST,"DST2,1    ",0.00,0.00,OIL,1984-08-02,1991-02-20,32,9999-12-31,2013-05-08
31/5-2,DST,DST3,1546.50,1554.50,NULL,1984-08-24,1991-02-20,32,9999-12-31,2013-05-08
31/5-2,DST,DST3B,0.00,0.00,CONDENSATE,1984-08-25,1991-02-20,32,9999-12-31,2013-05-08
31/5-3,DST,DST2,1582.30,1586.30,OIL,1984-06-02,1991-02-20,101,9999-12-31,2013-05-08
31/6-1,DST,DST1,1562.50,1567.50,WATER,1983-09-29,1991-02-28,22,9999-12-31,2013-05-08
31/6-1,DST,DST2,1435.00,1441.00,CONDENSATE,1983-10-18,1991-02-28,22,9999-12-31,2013-05-08
31/6-1,DST,DST3,0.00,0.00,CONDENSATE,1983-10-18,1991-02-28,22,9999-12-31,2013-05-08
31/6-2,DST,TEST1,1510.00,1506.00,NULL,1984-08-06,1991-11-05,34,9999-12-31,2013-05-08
31/6-2,PROD,TEST1,0.00,0.00,NULL,1984-08-06,9999-12-31,34,9999-12-31,2013-05-08
31/6-5,DST,TEST1A,1568.00,1558.00,NULL,1984-05-15,1991-11-05,105,9999-12-31,2013-05-08
31/6-6,DST,DST1A,0.00,0.00,NULL,1984-07-15,1991-11-05,127,9999-12-31,2013-05-08
31/6-6,PROD,TEST1A,0.00,0.00,CONDENSATE,1984-07-15,9999-12-31,127,9999-12-31,2013-05-08
33/12-8 A,DST,NULL,0.00,0.00,CONDENSATE,9999-12-31,2011-03-10,4532,9999-12-31,2013-05-08
33/12-8 S,DST,NULL,0.00,2914.00,OIL,2002-04-21,2011-03-10,4493,9999-12-31,2013-05-08
33/9-12,DST,TEST2,2505.00,2508.00,NULL,1987-07-25,1991-11-05,1069,9999-12-31,2013-05-08
33/9-12,DST,TEST3,2463.00,2489.00,NULL,1987-07-29,1991-11-05,1069,9999-12-31,2013-05-08
33/9-13 S,DST,"TEST1,1   ",2758.00,2787.00,NULL,1987-11-26,1991-11-05,1028,9999-12-31,2013-05-08
33/9-13 S,DST,"TEST1,2   ",2758.00,2787.00,OIL,1987-11-28,1991-11-05,1028,9999-12-31,2013-05-08
33/9-13 S,DST,TEST2,2727.00,2740.70,NULL,1987-12-13,1991-11-05,1028,9999-12-31,2013-05-08
33/9-14,DST,TEST1,2746.80,2759.80,OIL,1988-03-23,1991-11-05,1226,9999-12-31,2013-05-08
33/9-14,DST,"TEST2,1   ",2718.00,2732.00,OIL,1988-03-28,1991-11-05,1226,9999-12-31,2013-05-08
33/9-14,DST,"TEST2,2   ",2675.00,2705.00,OIL,1988-03-31,1991-11-05,1226,9999-12-31,2013-05-08
33/9-C-32,DST,NULL,0.00,0.00,NULL,1991-04-24,1991-11-05,909,9999-12-31,2013-05-08
33/9-C-36,DST,NULL,0.00,0.00,NULL,1989-08-13,1991-11-05,1388,9999-12-31,2013-05-08
33/9-M-2 H,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,2155,9999-12-31,2013-05-08
33/9-M-2 H,PROD,TEST1,0.00,0.00,OIL,1994-07-27,1994-09-22,2155,9999-12-31,2013-05-08
34/10-1,DST,DST1,1930.00,1935.00,NULL,1978-08-21,1980-01-01,424,2012-12-05,2013-05-08
34/10-1,DST,DST3,1788.00,1792.00,NULL,1978-08-29,1980-01-01,424,2012-12-05,2013-05-08
34/10-11,DST,TEST2,1891.00,1896.00,NULL,1981-02-23,1991-12-05,211,9999-12-31,2013-05-08
34/10-13,DST,TEST2,2003.00,2009.00,NULL,1981-12-23,1991-12-05,431,9999-12-31,2013-05-08
34/10-16,DST,TEST1,3397.00,3407.00,OIL,1983-09-10,1991-12-05,59,9999-12-31,2013-05-08
34/10-16,DST,TEST2,3177.00,3187.00,NULL,1983-09-17,1991-12-05,59,9999-12-31,2013-05-08
34/10-17,DST,TEST2,2880.00,2895.00,NULL,1983-08-07,1991-12-05,5,9999-12-31,2013-05-08
34/10-17,DST,TEST3,2835.00,2845.00,NULL,1983-06-22,1991-12-05,5,9999-12-31,2013-05-08
34/10-17,DST,TEST4,2754.00,2790.00,CONDENSATE,1983-06-28,1991-12-05,5,9999-12-31,2013-05-08
34/10-2,DST,TEST2,3353.00,3365.00,NULL,1979-07-22,1991-11-05,425,2012-12-05,2013-05-08
34/10-2,DST,TEST3,3335.00,3345.00,NULL,1979-07-26,1980-01-01,425,2012-12-05,2013-05-08
34/10-2,DST,TEST3A,3335.00,0.00,NULL,1979-07-28,1991-11-05,425,2012-12-05,2013-05-08
34/10-2,DST,TEST4,3110.00,3115.00,NULL,1979-08-02,1980-01-01,425,2012-12-05,2013-05-08
34/10-2,DST,DST5,3018.00,3028.00,NULL,1979-08-05,1980-01-01,425,2012-12-05,2013-05-08
34/10-21,DST,TEST2,3290.00,3312.00,CONDENSATE,1984-10-13,1991-12-05,221,9999-12-31,2013-05-08
34/10-23,DST,TEST1,4085.00,4095.00,CONDENSATE,1985-09-28,1991-12-05,476,9999-12-31,2013-05-08
34/10-3,DST,DST 2,1940.00,1935.00,NULL,1979-06-01,1980-01-01,426,2012-12-05,2013-05-08
34/10-30,DST,TEST1,3460.00,3473.00,NULL,1986-04-15,1991-12-05,877,9999-12-31,2013-05-08
34/10-30,DST,TEST2,3297.00,3318.00,NULL,1986-04-21,1991-12-05,877,9999-12-31,2013-05-08
34/10-30,DST,TEST3,3125.00,3155.00,NULL,1986-04-30,1991-12-05,877,9999-12-31,2013-05-08
34/10-32 R,DST,TEST2,3368.00,3374.00,OIL,1987-08-02,1991-12-05,1128,9999-12-31,2013-05-08
34/10-33,DST,"TEST1,1   ",3378.00,3394.00,NULL,1988-11-29,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33,DST,TEST2,0.00,0.00,NULL,1988-12-08,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33,DST,"TEST2,1   ",3279.00,3307.00,OIL,1988-12-08,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33 C,DST,DST 1B,0.00,0.00,NULL,1990-04-11,1991-12-05,1384,9999-12-31,2013-05-08
