seaSurveyName,seaNpdidSurvey,seaFactMapUrl,seaFactPageUrl,seaStatus,seaGeographicalArea,seaMarketAvailable,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaSourceType,seaSourceNumber,seaSourceSize,seaSourcePressure,seaSensorType,seaSensorNumbers,seaSensorLength,seaPlanFromDate,seaDateStarting,seaPlanToDate,seaDateFinalized,seaPlanCdpKm,seaCdpTotalKm,seaPlanBoatKm,seaBoatTotalKm,sea3DKm2,seaPolygonKind,seaPolyGeometryWKT
"LN0956",7018,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7018","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7018","Ferdig","Nordsjøen",Nei,"Borestedundersøkelse / sitesurvey",NULL,"Lundin Norway AS","Seismisk kilde",6,140 cu.inch,"140 cu.inc","Kabler",1,1200,2009-06-15,2009-06-25,2009-06-29,2009-06-30,130,129,130,129,NULL,"Område unntatt snuområde","POLYGON((2.3868 58.727186,2.465425 58.727219,2.466008 58.689236,2.387797 58.689353,2.3868 58.727186))"
"ST0893",7019,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7019","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7019","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,160,UNKNOWN,"Kabler",1,1200,2009-05-01,2009-06-08,2009-06-29,2009-06-17,92,67,92,67,NULL,"Område unntatt snuområde","POLYGON((2.05 61.233333,2.05 61.3,2.183333 61.3,2.183333 61.233333,2.05 61.233333))"
"ST0893",7019,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7019","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7019","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,160,UNKNOWN,"Kabler",1,1200,2009-05-01,2009-06-08,2009-06-29,2009-06-17,92,67,92,67,NULL,"Område inkludert snuområde","POLYGON((2.05 61.233333,2.05 61.3,2.183333 61.3,2.183333 61.233333,2.05 61.233333))"
"ST09301",7020,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7020","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7020","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-01-02,2009-05-17,2009-06-09,2009-05-23,420,145,420,145,NULL,"Område unntatt snuområde","POLYGON((2.316667 61.133333,2.316667 60.95,1.875 60.95,1.841667 61.133333,2.316667 61.133333))"
"ST09301",7020,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7020","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7020","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-01-02,2009-05-17,2009-06-09,2009-05-23,420,145,420,145,NULL,"Område inkludert snuområde","POLYGON((2.316667 61.133333,2.316667 60.95,1.875 60.95,1.841667 61.133333,2.316667 61.133333))"
"ST09302",7021,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7021","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7021","Ferdig","Norskehavet",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,40,"4 x 40","Kabler",1,1200,2009-04-17,2009-04-17,2009-05-20,2009-05-12,132,125,132,125,NULL,"Område inkludert snuområde","POLYGON((8.133333 66.05,8.133333 65.916667,7.85 65.916667,7.85 66.05,8.133333 66.05))"
"ST09302",7021,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7021","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7021","Ferdig","Norskehavet",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,40,"4 x 40","Kabler",1,1200,2009-04-17,2009-04-17,2009-05-20,2009-05-12,132,125,132,125,NULL,"Område unntatt snuområde","POLYGON((8.133333 66.05,8.133333 65.916667,7.85 65.916667,7.85 66.05,8.133333 66.05))"
"ST09304",7022,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7022","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7022","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-05-15,2009-05-15,2009-07-15,2009-05-16,40,45,40,45,NULL,"Område inkludert snuområde","POLYGON((2.833333 60.533333,2.833333 60.416667,2.583333 60.416667,2.583333 60.533333,2.833333 60.533333))"
"ST09304",7022,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7022","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7022","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-05-15,2009-05-15,2009-07-15,2009-05-16,40,45,40,45,NULL,"Område unntatt snuområde","POLYGON((2.833333 60.533333,2.833333 60.416667,2.583333 60.416667,2.583333 60.533333,2.833333 60.533333))"
"ST09307",7023,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7023","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7023","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-06-15,2009-07-07,2009-08-15,2009-07-17,200,202,200,202,NULL,"Område unntatt snuområde","POLYGON((3.366667 61.966667,3.366667 61.766667,2.75 61.766667,2.75 61.966667,3.366667 61.966667))"
"ST09307",7023,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7023","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7023","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",1,1200,2009-06-15,2009-07-07,2009-08-15,2009-07-17,200,202,200,202,NULL,"Område inkludert snuområde","POLYGON((3.366667 61.966667,3.366667 61.766667,2.75 61.766667,2.75 61.966667,3.366667 61.966667))"
"ST09309",7024,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7024","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7024","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",24,25,2009-04-29,2009-05-11,2009-05-15,2009-05-14,1200,NULL,50,NULL,NULL,"Område unntatt snuområde","POLYGON((4.133333 58.866667,4.416667 58.966667,4.583333 59.666667,4.133333 59.666667,4.133333 58.866667))"
"ST09309",7024,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7024","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7024","Ferdig","Nordsjøen",Ja,"Borestedundersøkelse / sitesurvey",NULL,"StatoilHydro ASA","Seismisk kilde",1,4 x 40,UNKNOWN,"Kabler",24,25,2009-04-29,2009-05-11,2009-05-15,2009-05-14,1200,NULL,50,NULL,NULL,"Område inkludert snuområde","POLYGON((4.133333 58.866667,4.416667 58.966667,4.583333 59.666667,4.133333 59.666667,4.133333 58.866667))"
