baaNpdidBsnsArrArea,baaNpdidBsnsArrAreaPoly,baaName,baaKind,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyActive,baaDateApproved,baaDateValidFrom,baaDateValidTo,baaActive,baaFactPageUrl,baaFactMapUrl,baaAreaGeometryWKT
40490,2129665,"HEIDRUN UNIT","UNITIZED",2000-01-01,2003-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.283333 65.25,7.333333 65.25,7.333333 65.4,7.233333 65.4,7.233333 65.383333,7.216667 65.383333,7.216667 65.366667,7.2 65.366667,7.2 65.316667,7.216667 65.316667,7.216667 65.3,7.233333 65.3,7.233333 65.283333,7.25 65.283333,7.25 65.266667,7.283333 65.266667,7.283333 65.25)))"
40490,2129686,"HEIDRUN UNIT","UNITIZED",2000-01-01,2003-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.333333 65.25,7.383333 65.25,7.383333 65.366667,7.416667 65.366667,7.416667 65.383333,7.433333 65.383333,7.433333 65.4,7.333333 65.4,7.333333 65.25)))"
40490,2473045,"HEIDRUN UNIT","UNITIZED",2003-01-01,2005-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.333333 65.25,7.383333 65.25,7.383333 65.366667,7.416667 65.366667,7.416667 65.383333,7.433333 65.383333,7.433333 65.4,7.333333 65.4,7.333333 65.25)))"
40490,2473058,"HEIDRUN UNIT","UNITIZED",2003-01-01,2005-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.3 65.266667,7.333333 65.266667,7.333333 65.4,7.233333 65.4,7.233333 65.383333,7.216667 65.383333,7.216667 65.366667,7.2 65.366667,7.2 65.316667,7.216667 65.316667,7.216667 65.3,7.283333 65.3,7.283333 65.283333,7.3 65.283333,7.3 65.266667)))"
41470,102076,"HEIMDAL UNIT","PARCELL",1975-05-02,2003-10-12,INACTIVE,1975-04-11,1975-05-02,2003-10-12,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41470",NULL,"MULTIPOLYGON(((2.133333 59.533333,2.266667 59.533333,2.266667 59.566667,2.283333 59.566667,2.283333 59.583333,2.333333 59.583333,2.333333 59.608333,2.283333 59.608333,2.283333 59.625,2.166667 59.625,2.166667 59.608333,2.145833 59.608333,2.145833 59.583333,2.133333 59.583333,2.133333 59.533333)))"
41189,1853049,"HULDRA UNIT","UNITIZED",2001-11-30,9999-12-31,ACTIVE,1998-09-01,1997-12-05,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41189","http://www.npd.no/FactMapSearch?NPDID_business_area=41189","MULTIPOLYGON(((2.583333 60.783333,2.666667 60.783333,2.666667 60.916667,2.616667 60.916667,2.616667 60.883333,2.6 60.883333,2.6 60.833333,2.583333 60.833333,2.583333 60.783333)))"
41189,1853062,"HULDRA UNIT","UNITIZED",2001-11-30,9999-12-31,ACTIVE,1998-09-01,1997-12-05,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41189","http://www.npd.no/FactMapSearch?NPDID_business_area=41189","MULTIPOLYGON(((2.666667 60.808333,2.683333 60.808333,2.683333 60.9,2.666667 60.9,2.666667 60.808333)))"
41189,97538,"HULDRA UNIT","UNITIZED",1997-12-05,2001-11-30,INACTIVE,1998-09-01,1997-12-05,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41189","http://www.npd.no/FactMapSearch?NPDID_business_area=41189","MULTIPOLYGON(((2.666667 60.783333,2.683333 60.783333,2.683333 60.8,2.7 60.8,2.7 60.833333,2.716667 60.833333,2.716667 60.866667,2.7 60.866667,2.7 60.9,2.666667 60.9,2.666667 60.783333)))"
41189,97525,"HULDRA UNIT","UNITIZED",1997-12-05,2001-11-30,INACTIVE,1998-09-01,1997-12-05,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41189","http://www.npd.no/FactMapSearch?NPDID_business_area=41189","MULTIPOLYGON(((2.583333 60.783333,2.666667 60.783333,2.666667 60.916667,2.616667 60.916667,2.616667 60.883333,2.6 60.883333,2.6 60.833333,2.583333 60.833333,2.583333 60.783333)))"
21077388,21077413,"JETTE UNIT","UNITIZED",2012-01-05,9999-12-31,ACTIVE,2012-02-27,2012-01-05,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=21077388","http://www.npd.no/FactMapSearch?NPDID_business_area=21077388","MULTIPOLYGON(((2.333333 59.366667,2.366667 59.366667,2.366667 59.416667,2.35 59.416667,2.35 59.4,2.333333 59.4,2.333333 59.366667)))"
