wlbWellboreName,wlbNpdidWellbore,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbEntryDate,wlbCompletionDate,wlbDrillPermit,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbEntryYear,wlbCompletionYear,wlbSeismicLocation,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
2/1-U-10,1102,2/1-U-10,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-26,1987-04-27,68-G,98.0,67.1,NORTH SEA,1987,1987,NULL,ED50,56,54,17.66,N,3,5,6.06,E,56.9049,3.0850,6306944.85,505178.00,31,2,1,U,10,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-11,1103,2/1-U-11,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-26,1987-04-27,69-G,103.0,67.1,NORTH SEA,1987,1987,NULL,ED50,56,54,16.24,N,3,5,4.7,E,56.9045,3.0846,6306900.91,505155.05,31,2,1,U,11,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-12,6817,2/1-U-12,Talisman Energy Norge AS,299,BUCENTAUR,9999-12-31,9999-12-31,588-G,0.0,67.0,NORTH SEA,0,0,NULL,ED50,56,51,3.57,N,3,18,49.36,E,56.8510,3.3137,6300983.92,519134.29,31,2,1,U,12,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-13,6818,2/1-U-13,Talisman Energy Norge AS,299,BUCENTAUR,9999-12-31,9999-12-31,589-G,0.0,67.0,NORTH SEA,0,0,NULL,ED50,56,51,1.51,N,3,18,50.33,E,56.8504,3.3140,6300920.30,519151.02,31,2,1,U,13,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-14,6819,2/1-U-14,Talisman Energy Norge AS,299,BUCENTAUR,9999-12-31,9999-12-31,590-G,0.0,67.0,NORTH SEA,0,0,NULL,ED50,56,51,3.01,N,3,18,53.1,E,56.8508,3.3148,6300966.89,519197.73,31,2,1,U,14,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-15,7031,2/1-U-15,Det norske oljeselskap ASA,542,BUCENTAUR,9999-12-31,9999-12-31,677-G,0.0,70.0,NORTH SEA,0,0,NULL,ED50,56,52,58,N,3,12,45.1,E,56.8828,3.2125,6304498.53,512951.80,31,2,1,U,15,NULL,NULL,2012-09-04,2012-09-04,2013-05-08
2/1-U-16,7032,2/1-U-16,Det norske oljeselskap ASA,542,BUCENTAUR,9999-12-31,9999-12-31,678-G,0.0,70.0,NORTH SEA,0,0,NULL,ED50,56,52,59.5,N,3,12,47.9,E,56.8832,3.2133,6304545.06,512999.06,31,2,1,U,16,NULL,NULL,2012-09-04,2012-09-04,2013-05-08
2/1-U-17,7033,2/1-U-17,Det norske oljeselskap ASA,542,BUCENTAUR,9999-12-31,9999-12-31,679-G,0.0,70.0,NORTH SEA,0,0,NULL,ED50,56,53,0,N,3,12,44.1,E,56.8833,3.2123,6304560.32,512934.68,31,2,1,U,17,NULL,NULL,2012-09-04,2012-09-04,2013-05-08
2/4-U-1,1474,2/4-U-1,Phillips Petroleum Company Norway,018,BUCENTAUR,1989-09-08,1989-09-10,212-G,161.5,74.5,NORTH SEA,1989,1989,NULL,ED50,56,32,48.47,N,3,13,5.43,E,56.5468,3.2182,6267100.13,513415.00,31,2,4,U,1,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-2,1475,2/4-U-2,Phillips Petroleum Company Norway,018,BUCENTAUR,1989-09-07,1989-09-08,213-G,161.4,74.5,NORTH SEA,1989,1989,NULL,ED50,56,32,47.04,N,3,13,5.71,E,56.5464,3.2183,6267055.93,513419.93,31,2,4,U,2,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-3,1476,2/4-U-3,Phillips Petroleum Company Norway,018,BUCENTAUR,1989-09-04,1989-09-10,214-G,142.5,74.5,NORTH SEA,1989,1989,NULL,ED50,56,32,39.66,N,3,13,7.66,E,56.5444,3.2188,6266827.85,513453.96,31,2,4,U,3,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
