wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,dateSyncNPD
2/5-6,OLD NPD WDSS,261_03_WDSS_lithlog,http://www.npd.no/engelsk/cwi/pbl/wdss_old/261_03_WDSS_lithlog.pdf,pdf,61,261,9999-12-31,2013-05-08
2/5-6,REPORTED BY LICENSEE,261_01_2_5_6_Completion_Report2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/261_01_2_5_6_Completion_Report2.pdf,pdf,22757,261,9999-12-31,2013-05-08
2/5-6,REPORTED BY LICENSEE,261_01_2_5_6_Completion_Report_and_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/261_01_2_5_6_Completion_Report_and_Completion_log.pdf,pdf,45205,261,9999-12-31,2013-05-08
2/5-7,GEOCHEMICAL INFORMATION,25_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/25_1.pdf,pdf,191,25,9999-12-31,2013-05-08
2/5-7,GEOCHEMICAL INFORMATION,25_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/25_2.pdf,pdf,347,25,9999-12-31,2013-05-08
2/5-7,GEOCHEMICAL INFORMATION,25_3,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/25_3.pdf,pdf,996,25,9999-12-31,2013-05-08
2/5-7,GEOCHEMICAL INFORMATION,25_4,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/25_4.pdf,pdf,647,25,9999-12-31,2013-05-08
2/5-7,OLD NPD WDSS,25_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/25_01_WDSS_General_Information.pdf,pdf,220,25,9999-12-31,2013-05-08
2/5-7,OLD NPD WDSS,25_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/25_02_WDSS_completion_log.pdf,pdf,373,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_01_2_5_7_Completion_Report_and_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_01_2_5_7_Completion_Report_and_Completion_log.pdf,pdf,13557,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_03_2_5_7_Biostratigraphy_of_the_Cretaceous-Tertiary_Interval,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_03_2_5_7_Biostratigraphy_of_the_Cretaceous-Tertiary_Interval.pdf,pdf,6470,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_03_2_5_7_Geochemical_Analysis_Crude_Oil_Well,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_03_2_5_7_Geochemical_Analysis_Crude_Oil_Well.pdf,pdf,378,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_03_2_5_7_Geochemical_Analysis_of_two_Kimmeridge_Klay_rock_Samples,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_03_2_5_7_Geochemical_Analysis_of_two_Kimmeridge_Klay_rock_Samples.pdf,pdf,1117,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_04_2_5_7_Preliminary_Petrophysical_Evaluation,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_04_2_5_7_Preliminary_Petrophysical_Evaluation.pdf,pdf,3296,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_04_2_5_7_Results_of_Rock_Eval_Analysis_of_Sidewall_Core_Samples,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_04_2_5_7_Results_of_Rock_Eval_Analysis_of_Sidewall_Core_Samples.pdf,pdf,353,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_04_2_5_7_Routine_Core_Analysis,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_04_2_5_7_Routine_Core_Analysis.pdf,pdf,433,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_05_2_5_7_High_Accuracy_Pressure_Temperature_Measurements,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_05_2_5_7_High_Accuracy_Pressure_Temperature_Measurements.pdf,pdf,4152,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_05_2_5_7_Well_Testing_Report_Production_Test_1,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_05_2_5_7_Well_Testing_Report_Production_Test_1.pdf,pdf,10405,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_05_2_5_7_Well_Testing_Report_Production_Test_2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_05_2_5_7_Well_Testing_Report_Production_Test_2.pdf,pdf,10751,25,9999-12-31,2013-05-08
2/5-7,REPORTED BY LICENSEE,25_05_2_5_7_Well_Testing_Report_Production_Test_3,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/25_05_2_5_7_Well_Testing_Report_Production_Test_3.pdf,pdf,4883,25,9999-12-31,2013-05-08
2/5-8,OLD NPD WDSS,1308_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1308_01_WDSS_General_Information.pdf,pdf,298,1308,9999-12-31,2013-05-08
2/5-8,OLD NPD WDSS,1308_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1308_02_WDSS_completion_log.pdf,pdf,217,1308,9999-12-31,2013-05-08
2/5-9,COMPOSITE LOG,1834,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/1834.pdf,pdf,965,1834,2013-05-01,2013-05-08
2/5-9,GEOCHEMICAL INFORMATION,1834_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1834_1.pdf,pdf,668,1834,9999-12-31,2013-05-08
2/5-9,GEOCHEMICAL INFORMATION,1834_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1834_2.pdf,pdf,2788,1834,9999-12-31,2013-05-08
2/5-9,OLD NPD WDSS,1834_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1834_01_WDSS_General_Information.pdf,pdf,616,1834,9999-12-31,2013-05-08
2/5-9,OLD NPD WDSS,1834_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1834_02_WDSS_completion_log.pdf,pdf,289,1834,9999-12-31,2013-05-08
2/6-1,COMPOSITE LOG,160,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/160.pdf,pdf,418,160,2013-01-22,2013-05-08
2/6-1,GEOCHEMICAL INFORMATION,160_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/160_1.pdf,pdf,465,160,9999-12-31,2013-05-08
2/6-1,NPD PAPER,160_01_NPD_Paper_No.19_Lithology__Well_2_6_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/160_01_NPD_Paper_No.19_Lithology__Well_2_6_1.pdf,pdf,11080,160,9999-12-31,2013-05-08
2/6-1,NPD PAPER,160_02_NPD_Paper_No.19_Interpreted_Lithology_log__Well_2_6_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/160_02_NPD_Paper_No.19_Interpreted_Lithology_log__Well_2_6_1.pdf,pdf,49978,160,9999-12-31,2013-05-08
2/6-1,OLD NPD WDSS,160_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/160_01_WDSS_General_Information.pdf,pdf,190,160,9999-12-31,2013-05-08
2/6-1,REPORTED BY LICENSEE,160_01_2_6_1_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/160_01_2_6_1_Completion_Report.pdf,pdf,3928,160,9999-12-31,2013-05-08
2/6-1,REPORTED BY LICENSEE,160_02_2_6_1_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/160_02_2_6_1_Completion_log.pdf,pdf,1812,160,9999-12-31,2013-05-08
2/6-2,COMPOSITE LOG,224,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/224.pdf,pdf,1090,224,2013-01-22,2013-05-08
2/6-2,GEOCHEMICAL INFORMATION,224_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/224_1.pdf,pdf,12011,224,9999-12-31,2013-05-08
