prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
005,1978-02-24,1982-09-01,Den norske stats oljeselskap a.s,10.00000,NULL,9999-12-31,9999-12-31,20796,749,9999-12-31,2013-05-08
005,1978-02-24,1982-09-01,Union Norge A/S,90.00000,NULL,1977-01-20,1982-09-01,20796,881,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Den norske stats oljeselskap a.s,10.00000,NULL,9999-12-31,9999-12-31,20796,749,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Union Norge A/S,54.00000,NULL,1977-01-20,1982-09-01,20796,881,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Texas Eastern Norwegian Inc.,10.20000,NULL,9999-12-31,9999-12-31,20796,837,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Norwegian Oil Consortium A/S & Co,5.40000,NULL,9999-12-31,9999-12-31,20796,518,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Amoco Norway Oil Company,10.20000,NULL,9999-12-31,9999-12-31,20796,78,9999-12-31,2013-05-08
005,1977-01-20,1978-02-24,Amerada Hess Norge AS,10.20000,NULL,9999-12-31,9999-12-31,20796,67,9999-12-31,2013-05-08
005,1965-09-01,1977-01-20,Texas Eastern Norwegian Inc.,28.33300,NULL,9999-12-31,9999-12-31,20796,837,9999-12-31,2013-05-08
005,1965-09-01,1977-01-20,Norwegian Oil Consortium A/S & Co,15.00000,NULL,9999-12-31,9999-12-31,20796,518,9999-12-31,2013-05-08
005,1965-09-01,1977-01-20,Amoco Norway Oil Company,28.33400,NULL,1965-09-01,1977-01-20,20796,78,9999-12-31,2013-05-08
005,1965-09-01,1977-01-20,Amerada Hess Norge AS,28.33300,NULL,9999-12-31,9999-12-31,20796,67,9999-12-31,2013-05-08
006,2003-10-28,9999-12-31,Total E&P Norge AS,100.00000,NULL,2003-05-06,9999-12-31,20804,2410708,9999-12-31,2013-05-08
006,2003-05-06,2003-10-28,Total E&P Norge AS,43.33333,NULL,2003-05-06,9999-12-31,20804,2410708,9999-12-31,2013-05-08
006,2003-05-06,2003-10-28,BP Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,2052695,9999-12-31,2013-05-08
006,2003-05-06,2003-10-28,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,1853786,9999-12-31,2013-05-08
006,2002-03-12,2003-05-06,TotalFinaElf Exploration Norge AS,43.33333,NULL,2000-10-17,2003-05-06,20804,1340884,9999-12-31,2013-05-08
006,2002-03-12,2003-05-06,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,1853786,9999-12-31,2013-05-08
006,2002-03-12,2003-05-06,BP Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,2052695,9999-12-31,2013-05-08
006,2001-12-31,2002-03-12,BP Amoco Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,982372,9999-12-31,2013-05-08
006,2001-12-31,2002-03-12,TotalFinaElf Exploration Norge AS,43.33333,NULL,2000-10-17,2003-05-06,20804,1340884,9999-12-31,2013-05-08
006,2001-12-31,2002-03-12,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,1853786,9999-12-31,2013-05-08
006,2001-02-15,2001-12-31,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,20804,342,9999-12-31,2013-05-08
006,2001-02-15,2001-12-31,BP Amoco Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,982372,9999-12-31,2013-05-08
006,2001-02-15,2001-12-31,TotalFinaElf Exploration Norge AS,43.33333,NULL,2000-10-17,2003-05-06,20804,1340884,9999-12-31,2013-05-08
006,2000-07-24,2001-02-15,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,67,9999-12-31,2013-05-08
006,2000-07-24,2001-02-15,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,20804,342,9999-12-31,2013-05-08
006,2000-07-24,2001-02-15,BP Amoco Norge AS,28.33333,NULL,1999-12-23,2000-10-17,20804,982372,9999-12-31,2013-05-08
006,2000-07-24,2001-02-15,TotalFinaElf Exploration Norge AS,15.00000,NULL,2000-10-17,2003-05-06,20804,1340884,9999-12-31,2013-05-08
006,1999-12-23,2000-07-24,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,67,9999-12-31,2013-05-08
006,1999-12-23,2000-07-24,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,20804,342,9999-12-31,2013-05-08
006,1999-12-23,2000-07-24,Elf Petroleum Norge AS,15.00000,NULL,9999-12-31,9999-12-31,20804,298,9999-12-31,2013-05-08
006,1999-12-23,2000-07-24,BP Amoco Norge AS,28.33333,NULL,1999-12-23,2000-10-17,20804,982372,9999-12-31,2013-05-08
006,1992-02-25,1999-12-23,Amoco Norway Oil Company,28.33333,NULL,1965-09-01,1999-12-23,20804,78,9999-12-31,2013-05-08
006,1992-02-25,1999-12-23,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,67,9999-12-31,2013-05-08
006,1992-02-25,1999-12-23,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,20804,342,9999-12-31,2013-05-08
006,1992-02-25,1999-12-23,Elf Petroleum Norge AS,15.00000,NULL,9999-12-31,9999-12-31,20804,298,9999-12-31,2013-05-08
006,1989-04-14,1992-02-25,Norwegian Oil Consortium A/S & Co,15.00000,NULL,9999-12-31,9999-12-31,20804,518,9999-12-31,2013-05-08
006,1989-04-14,1992-02-25,Amoco Norway Oil Company,28.33333,NULL,1965-09-01,1999-12-23,20804,78,9999-12-31,2013-05-08
006,1989-04-14,1992-02-25,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,67,9999-12-31,2013-05-08
006,1989-04-14,1992-02-25,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,20804,342,9999-12-31,2013-05-08
006,1965-09-01,1989-04-14,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,20804,67,9999-12-31,2013-05-08
006,1965-09-01,1989-04-14,Amoco Norway Oil Company,28.33333,NULL,1965-09-01,1999-12-23,20804,78,9999-12-31,2013-05-08
006,1965-09-01,1989-04-14,Norwegian Oil Consortium A/S & Co,15.00000,NULL,9999-12-31,9999-12-31,20804,518,9999-12-31,2013-05-08
