fldName,fldOwnerName,fldOwnerKind,fldOwnerFrom,fldOwnerTo,fldLicenseeFrom,fldLicenseeTo,cmpLongName,fldCompanyShare,fldSdfiShare,fldNpdidField,cmpNpdidCompany,fldLicenseeDateUpdated,dateSyncNPD
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-05-06,2003-12-15,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,TotalFinaElf Exploration Norge AS,39.89600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,Phillips Petroleum Norsk AS,35.11200,NULL,43437,705,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-03-05,2003-05-06,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,TotalFinaElf Exploration Norge AS,39.89600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,ConocoPhillips Norge,35.11200,NULL,43437,2144081,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2002-10-23,2003-03-05,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,TotalFinaElf Exploration Norge AS,39.89600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-12-18,2002-10-23,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Total Norge AS,31.87000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,TotalFinaElf Exploration Norge AS,8.02600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-06-17,2001-12-18,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,Total Norge AS,31.87000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,TotalFinaElf Exploration Norge AS,8.02600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,SDØE,5.00000,NULL,43437,1623450,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-05-10,2001-06-17,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,Total Norge AS,31.87000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,TotalFinaElf Exploration Norge AS,8.02600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2001-01-11,2001-05-10,Den norske stats oljeselskap a.s,5.95000,5.00000,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Total Norge AS,31.87000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,TotalFinaElf Exploration Norge AS,8.02600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Norsk Hydro Produksjon AS,6.36500,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Den norske stats oljeselskap a.s,5.95000,5.00000,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-12-20,2001-01-11,Saga Petroleum ASA,0.28900,NULL,43437,716,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Fina Production Licenses AS,28.50000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,TotalFinaElf Exploration Norge AS,8.02600,NULL,43437,1340884,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Norsk Hydro Produksjon AS,6.36500,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Den norske stats oljeselskap a.s,5.95000,5.00000,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Total Norge AS,3.37000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2000-07-24,2000-12-20,Saga Petroleum ASA,0.28900,NULL,43437,716,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Phillips Petroleum Company Norway,35.11200,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Fina Production Licenses AS,28.50000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Norsk Agip  AS,12.38800,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Elf Petroleum Norge AS,8.02600,NULL,43437,298,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Norsk Hydro Produksjon AS,6.36500,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Den norske stats oljeselskap a.s,5.95000,5.00000,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Total Norge AS,3.37000,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1999-01-01,2000-07-24,Saga Petroleum ASA,0.28900,NULL,43437,716,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Elf Petroleum Norge AS,8.44900,NULL,43437,298,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Norsk Hydro Produksjon AS,6.70000,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Total Norge AS,3.54700,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Den norske stats oljeselskap a.s,1.00000,NULL,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1997-01-01,1999-01-01,Saga Petroleum ASA,0.30400,NULL,43437,716,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Elf Petroleum Norge AS,7.59400,NULL,43437,298,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Norsk Hydro Produksjon AS,6.70000,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Total Norge AS,3.54700,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Den norske stats oljeselskap a.s,1.00000,NULL,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Elf Rex Norge AS,0.85500,NULL,43437,320,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1995-01-01,1997-01-01,Saga Petroleum ASA,0.30400,NULL,43437,716,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Elf Petroleum Norge AS,7.59400,NULL,43437,298,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Norsk Hydro Produksjon AS,6.70000,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Total Norge AS,3.54700,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Den norske stats oljeselskap a.s,1.00000,NULL,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Elf Rex Norge AS,0.85500,NULL,43437,320,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1992-08-14,1995-01-01,Norminol AS,0.30400,NULL,43437,529,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Elf Aquitaine Norge A/S,7.59400,NULL,43437,331,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Norsk Hydro Produksjon AS,6.70000,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Total Norge AS,3.54700,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Den norske stats oljeselskap a.s,1.00000,NULL,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Elf Rep Norge A/S,0.45600,NULL,43437,309,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Elf Rex Norge AS,0.39900,NULL,43437,320,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1990-11-22,1992-08-14,Norminol AS,0.30400,NULL,43437,529,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Elf Aquitaine Norge A/S,7.59400,NULL,43437,331,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Norsk Hydro Produksjon AS,6.70000,NULL,43437,430,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Total Norge AS,3.54700,NULL,43437,848,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Den norske stats oljeselskap a.s,1.00000,NULL,43437,749,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Eurafrep Norge A/S,0.45600,NULL,43437,364,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Coparex Norge A/S,0.39900,NULL,43437,243,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1988-04-01,1990-11-22,Cofranord A/S,0.30400,NULL,43437,199,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1977-07-01,1988-04-01,Phillips Petroleum Company Norway,36.96000,NULL,43437,694,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1977-07-01,1988-04-01,Fina Production Licenses AS,30.00000,NULL,43437,386,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1977-07-01,1988-04-01,Norsk Agip  AS,13.04000,NULL,43437,45,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,1977-07-01,1988-04-01,Elf Aquitaine Norge A/S,8.09400,NULL,43437,331,9999-12-31,2013-05-08
