ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,dateSyncNPD
027 D,Bridge Energy Norge AS,10.00000,4943160,18178215,9999-12-31,2013-05-08
027 D,Dana Petroleum Norway AS,30.00000,4943160,4526555,9999-12-31,2013-05-08
027 D,Det norske oljeselskap ASA,60.00000,4943160,17342870,9999-12-31,2013-05-08
028,ExxonMobil Exploration & Production Norway AS,100.00000,21004,2835212,9999-12-31,2013-05-08
028 B,Det norske oljeselskap ASA,35.00000,917484,17342870,9999-12-31,2013-05-08
028 B,Statoil Petroleum AS,50.00000,917484,17237817,9999-12-31,2013-05-08
028 B,Bayerngas Norge AS,15.00000,917484,4444493,9999-12-31,2013-05-08
028 C,Statoil Petroleum AS,57.00000,1333344,17237817,9999-12-31,2013-05-08
028 C,Petoro AS,30.00000,1333344,1626839,9999-12-31,2013-05-08
028 C,ExxonMobil Exploration & Production Norway AS,13.00000,1333344,2835212,9999-12-31,2013-05-08
028 S,ExxonMobil Exploration & Production Norway AS,100.00000,18054740,2835212,9999-12-31,2013-05-08
029,ExxonMobil Exploration & Production Norway AS,100.00000,21020,2835212,9999-12-31,2013-05-08
029 B,Total E&P Norge AS,30.00000,1626782,2410708,9999-12-31,2013-05-08
029 B,Statoil Petroleum AS,50.00000,1626782,17237817,9999-12-31,2013-05-08
029 B,Det norske oljeselskap ASA,20.00000,1626782,17342870,9999-12-31,2013-05-08
029 C,Total E&P Norge AS,100.00000,22493034,2410708,9999-12-31,2013-05-08
033,Hess Norge AS,62.50000,21052,4038735,9999-12-31,2013-05-08
033,BP Norge AS,37.50000,21052,2052695,9999-12-31,2013-05-08
033 B,Hess Norge AS,62.50000,1622353,4038735,9999-12-31,2013-05-08
033 B,BP Norge AS,37.50000,1622353,2052695,9999-12-31,2013-05-08
034,Statoil Petroleum AS,50.00000,21060,17237817,9999-12-31,2013-05-08
034,Total E&P Norge AS,10.00000,21060,2410708,9999-12-31,2013-05-08
034,Petoro AS,40.00000,21060,1626839,9999-12-31,2013-05-08
035,Svenska Petroleum Exploration AS,25.00000,21068,738,9999-12-31,2013-05-08
035,Det norske oljeselskap ASA,25.00000,21068,17342870,9999-12-31,2013-05-08
035,Statoil Petroleum AS,50.00000,21068,17237817,9999-12-31,2013-05-08
035 B,Det norske oljeselskap ASA,15.00000,5105684,17342870,9999-12-31,2013-05-08
035 B,Svenska Petroleum Exploration AS,25.00000,5105684,738,9999-12-31,2013-05-08
035 B,Centrica Resources (Norge) AS,50.00000,5105684,4238233,9999-12-31,2013-05-08
035 B,Dana Petroleum Norway AS,10.00000,5105684,4526555,9999-12-31,2013-05-08
035 C,Det norske oljeselskap ASA,25.00000,21559372,17342870,2013-03-19,2013-05-08
035 C,Svenska Petroleum Exploration AS,25.00000,21559372,738,2013-03-19,2013-05-08
035 C,Statoil Petroleum AS,50.00000,21559372,17237817,2013-03-19,2013-05-08
036,Total E&P Norge AS,24.24300,21076,2410708,9999-12-31,2013-05-08
036,Centrica Resources (Norge) AS,75.75700,21076,4238233,9999-12-31,2013-05-08
036 BS,Total E&P Norge AS,16.75900,2473189,2410708,9999-12-31,2013-05-08
036 BS,Petoro AS,20.00000,2473189,1626839,9999-12-31,2013-05-08
036 BS,Centrica Resources (Norge) AS,33.79800,2473189,4238233,9999-12-31,2013-05-08
036 BS,Statoil Petroleum AS,29.44300,2473189,17237817,9999-12-31,2013-05-08
036 C,ConocoPhillips Skandinavia AS,20.00000,2473241,2410696,9999-12-31,2013-05-08
036 C,Marathon Oil Norge AS,65.00000,2473241,20485291,9999-12-31,2013-05-08
036 C,Lundin Norway AS,15.00000,2473241,2767314,9999-12-31,2013-05-08
036 D,Total E&P Norge AS,24.24300,5081703,2410708,9999-12-31,2013-05-08
036 D,Statoil Petroleum AS,28.85300,5081703,17237817,9999-12-31,2013-05-08
036 D,Marathon Oil Norge AS,46.90400,5081703,20485291,9999-12-31,2013-05-08
037,ExxonMobil Exploration & Production Norway AS,25.00000,21084,2835212,9999-12-31,2013-05-08
037,Statoil Petroleum AS,21.87500,21084,17237817,9999-12-31,2013-05-08
037,Centrica Resources (Norge) AS,23.12500,21084,4238233,9999-12-31,2013-05-08
037,Petoro AS,30.00000,21084,1626839,9999-12-31,2013-05-08
037 B,Petoro AS,30.00000,48081,1626839,9999-12-31,2013-05-08
037 B,Statoil Petroleum AS,70.00000,48081,17237817,9999-12-31,2013-05-08
