seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
PL692GORE,2013-04-30,7809,Planlagt,Norskehavet,Grunnundersøkelser,Ikke seismikk,Repsol Exploration Norge AS,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
ST13455,2013-04-29,7800,Pågående,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-05-20,2013-04-29,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
BPN13301,2013-04-28,7845,Pågående,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,BP Norge AS,2013-08-30,2013-05-05,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
TUN13301,2013-04-28,7821,Planlagt,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Tullow Oil Norge AS,2013-06-09,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
ST13465,2013-04-25,7835,Pågående,Norskehavet,Grunnundersøkelser,Ikke seismikk,Statoil ASA,2013-05-15,2013-05-07,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
ST13464,2013-04-24,7830,Planlagt,Norskehavet,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-07-15,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
ST13312,2013-04-22,7808,Pågående,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-05-18,2013-04-26,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
TEPN-13-4,2013-04-19,7841,Planlagt,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2013-06-04,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
RD1302,2013-04-15,7815,Pågående,Nordsjøen,Grunnundersøkelser,Ikke seismikk,RWE Dea Norge AS,2013-07-31,2013-04-19,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
RD1303,2013-04-15,7816,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,RWE Dea Norge AS,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
TRIII13,2013-04-15,7777,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,TGS Nopec Geophysical Company  ASA,2013-09-30,9999-12-31,9999-12-31,NULL,NULL,6889.39,NULL,NULL,NULL,2013-05-08
MAE13301,2013-04-10,7813,Pågående,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Maersk Oil Norway AS,2013-05-17,2013-04-10,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
ST13316,2013-04-08,7818,Planlagt,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-06-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
TEPN-13-3,2013-04-04,7837,Under behandling,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
TEPN-13-2,2013-04-03,7836,Pågående,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2013-05-31,2013-04-04,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
EMGS1304,2013-04-01,7819,Avlyst,Nordsjøen,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,2845.74,NULL,NULL,NULL,2013-05-08
EMGS1305,2013-04-01,7820,Planlagt,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2013-09-01,9999-12-31,9999-12-31,NULL,NULL,6388.25,NULL,NULL,NULL,2013-05-08
LN13001,2013-04-01,7794,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Lundin Norway AS,2013-06-01,9999-12-31,9999-12-31,NULL,NULL,39.75,NULL,NULL,NULL,2013-05-08
MARIA-SBS,2013-04-01,7801,Pågående,Norskehavet,Grunnundersøkelser,Ikke seismikk,Wintershall Norge AS,2013-09-30,2013-05-02,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
SS1301,2013-04-01,7776,Avlyst,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Searcher Seismic Pty Ltd,2013-09-30,9999-12-31,9999-12-31,NULL,NULL,2880.27,NULL,NULL,NULL,2013-05-08
