seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
SH0001,2000-01-01,4064,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,A/S Norske Shell,2000-12-31,2000-01-01,2000-12-31,51,NULL,NULL,NULL,NULL,NULL,2013-05-08
SSB-2000,2000-01-01,4065,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SSE2000,2000-01-01,4066,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST0002,2000-01-01,4067,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Den norske stats oljeselskap a.s,2000-12-31,2000-01-01,2000-12-31,252,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST0003,2000-01-01,4068,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,Den norske stats oljeselskap a.s,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST0004,2000-01-01,4069,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST0005,2000-01-01,4070,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,2000-12-31,2000-01-01,2000-12-31,655,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9403-TIME,2000-01-01,4071,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,2000-12-31,2000-01-01,2000-12-31,38797,NULL,NULL,NULL,NULL,NULL,2013-05-08
SVN00,2000-01-01,4072,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,NOPEC A/S,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SVS00,2000-01-01,4073,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,NOPEC A/S,2000-12-31,2000-01-01,2000-12-31,1014,NULL,NULL,NULL,NULL,NULL,2013-05-08
SWF2000,2000-01-01,4074,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,2000-12-31,2000-01-01,2000-12-31,2956,NULL,NULL,NULL,NULL,NULL,2013-05-08
TBS2000,2000-01-01,4075,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,2000-12-31,2000-01-01,2000-12-31,3051,NULL,NULL,NULL,NULL,NULL,2013-05-08
TNE2000,2000-01-01,4076,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
TQ3D-STORD,2000-01-01,4077,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,WesternGeco AS,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
TQ4C-Q24/25,2000-01-01,4078,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,WesternGeco AS,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
TR00,2000-01-01,4079,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,NOPEC A/S,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
VSS00,2000-01-01,4080,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,2000-12-31,2000-01-01,2000-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
AG-TBN99,1999-01-01,3967,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,GEOTEAM AS,1999-12-31,1999-01-01,1999-12-31,83138,NULL,NULL,NULL,NULL,NULL,2013-05-08
B9/24-99,1999-01-01,3969,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
BPA9901,1999-01-01,3970,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,BP Norway Limited  U.A.,1999-12-31,1999-01-01,1999-12-31,65648,NULL,NULL,NULL,NULL,NULL,2013-05-08
BPN9902,1999-01-01,3971,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,BP Norway Limited  U.A.,1999-12-31,1999-01-01,1999-12-31,1046,NULL,NULL,NULL,NULL,NULL,2013-05-08
DW99,1999-01-01,3972,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,3538,NULL,NULL,NULL,NULL,NULL,2013-05-08
G4CTP-TQ3D1999,1999-01-01,3973,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
GJN99,1999-01-01,3974,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,629,NULL,NULL,NULL,NULL,NULL,2013-05-08
GJS99,1999-01-01,3975,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
GNNR99,1999-01-01,3977,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,47258,NULL,NULL,NULL,NULL,NULL,2013-05-08
GNNR-TQ3D-1999,1999-01-01,3976,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
GRN-TQ3D-1999,1999-01-01,3978,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
GRSI99,1999-01-01,3979,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,849,NULL,NULL,NULL,NULL,NULL,2013-05-08
GVLO99,1999-01-01,3980,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,1569,NULL,NULL,NULL,NULL,NULL,2013-05-08
HPSE99,1999-01-01,3981,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,NULL,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
HTE99,1999-01-01,3982,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,2038,NULL,NULL,NULL,NULL,NULL,2013-05-08
HTM99,1999-01-01,3983,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,1099,NULL,NULL,NULL,NULL,NULL,2013-05-08
HTS99,1999-01-01,3984,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,22886,NULL,NULL,NULL,NULL,NULL,2013-05-08
KFWI99,1999-01-01,3985,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,NULL,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC3D-JHUN99,1999-01-01,3986,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,148223,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC3D-RHD99,1999-01-01,3987,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,106815,NULL,NULL,NULL,NULL,NULL,2013-05-08
MD99,1999-01-01,3988,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,30828,NULL,NULL,NULL,NULL,NULL,2013-05-08
MI99,1999-01-01,3989,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,11703,NULL,NULL,NULL,NULL,NULL,2013-05-08
MIKKEL EAST,1999-01-01,3990,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
MN9902,1999-01-01,3991,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Mobil Exploration Norway INC,1999-12-31,1999-01-01,1999-12-31,1177,NULL,NULL,NULL,NULL,NULL,2013-05-08
MNWI99,1999-01-01,3992,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,1078,NULL,NULL,NULL,NULL,NULL,2013-05-08
MR3D99,1999-01-01,3993,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
MRD99,1999-01-01,3994,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,1143,NULL,NULL,NULL,NULL,NULL,2013-05-08
MSI99,1999-01-01,3995,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,1352,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9902,1999-01-01,3996,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1999-12-31,1999-01-01,1999-12-31,1811,NULL,NULL,NULL,NULL,NULL,2013-05-08
NPD-LOS-99,1999-01-01,3997,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Oljedirektoratet,1999-12-31,1999-01-01,1999-12-31,3071,NULL,NULL,NULL,NULL,NULL,2013-05-08
NX3D99,1999-01-01,4000,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,WesternGeco AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
OBS99,1999-01-01,4001,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Oljedirektoratet,1999-12-31,1999-01-01,1999-12-31,1502,NULL,NULL,NULL,NULL,NULL,2013-05-08
PAM99,1999-01-01,4003,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Phillips Petroleum Company Norway,1999-12-31,1999-01-01,1999-12-31,195601,NULL,NULL,NULL,NULL,NULL,2013-05-08
PAM99-2D,1999-01-01,4002,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,Phillips Petroleum Company Norway,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
PG99,1999-01-01,4004,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Phillips Petroleum Company Norway,1999-12-31,1999-01-01,1999-12-31,28974,NULL,NULL,NULL,NULL,NULL,2013-05-08
PGS-15/12,1999-01-01,4005,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
PGS-17/12,1999-01-01,4006,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
PGS-3/6,1999-01-01,4007,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
Q24-99,1999-01-01,4008,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
Q899,1999-01-01,4009,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SL99,1999-01-01,4011,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,2210,NULL,NULL,NULL,NULL,NULL,2013-05-08
SLI99,1999-01-01,4012,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,1117,NULL,NULL,NULL,NULL,NULL,2013-05-08
SRNE99,1999-01-01,4013,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SST2000,1999-01-01,4014,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,51524,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9901,1999-01-01,4015,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,20711,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9902,1999-01-01,4016,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9903-2D,1999-01-01,4017,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,106,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9904,1999-01-01,4018,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9905,1999-01-01,4019,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,92368,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9906,1999-01-01,4020,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ULE99,1999-01-01,4022,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,50386,NULL,NULL,NULL,NULL,NULL,2013-05-08
VSS99,1999-01-01,4023,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,1677,NULL,NULL,NULL,NULL,NULL,2013-05-08
YE99,1999-01-01,4024,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1999-12-31,1999-01-01,1999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
YFZ99,1999-01-01,4025,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1999-12-31,1999-01-01,1999-12-31,1475,NULL,NULL,NULL,NULL,NULL,2013-05-08
ANO9801,1998-01-01,3902,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,Amoco Norway Oil Company,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
BB98,1998-01-01,3903,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
DTN98,1998-01-01,3904,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,41446,NULL,NULL,NULL,NULL,NULL,2013-05-08
FLES98,1998-01-01,3905,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
FLESQ6605,1998-01-01,3906,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
FW98,1998-01-01,3907,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,1514,NULL,NULL,NULL,NULL,NULL,2013-05-08
GRS99,1998-01-01,3908,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,7059,NULL,NULL,NULL,NULL,NULL,2013-05-08
GSB-98,1998-01-01,3909,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,WesternGeco AS,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
HPS98,1998-01-01,3910,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,2644,NULL,NULL,NULL,NULL,NULL,2013-05-08
JMW99,1998-01-01,3911,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,234,NULL,NULL,NULL,NULL,NULL,2013-05-08
KFW98,1998-01-01,3912,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,4146,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC3D-FLES98,1998-01-01,3913,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,124843,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC3D-MGW98,1998-01-01,3914,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,72034,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC3D-OLSE98,1998-01-01,3915,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,113539,NULL,NULL,NULL,NULL,NULL,2013-05-08
MN4C-98-3,1998-01-01,3916,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,29,NULL,NULL,NULL,NULL,NULL,2013-05-08
MNW99,1998-01-01,3917,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,3029,NULL,NULL,NULL,NULL,NULL,2013-05-08
MRR98,1998-01-01,3918,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,2406,NULL,NULL,NULL,NULL,NULL,2013-05-08
MS99,1998-01-01,3919,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,7205,NULL,NULL,NULL,NULL,NULL,2013-05-08
NA9801,1998-01-01,3920,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Norsk Agip  AS,1998-12-31,1998-01-01,1998-12-31,15102,NULL,NULL,NULL,NULL,NULL,2013-05-08
NDC98,1998-01-01,3921,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,606,NULL,NULL,NULL,NULL,NULL,2013-05-08
NF-98,1998-01-01,3922,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,CGG NORGE A/S,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9801-GECO,1998-01-01,3923,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,20879,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9801-PGS,1998-01-01,3924,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,9255,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9802-GECO,1998-01-01,3925,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,69802,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9802-PGS,1998-01-01,3926,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,35158,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9803,1998-01-01,3927,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,109250,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9804,1998-01-01,3928,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,7515,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9805,1998-01-01,3929,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,18921,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9806,1998-01-01,3930,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9807,1998-01-01,3931,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,1284,NULL,NULL,NULL,NULL,NULL,2013-05-08
NH9808,1998-01-01,3932,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Norsk Hydro Produksjon AS,1998-12-31,1998-01-01,1998-12-31,14,NULL,NULL,NULL,NULL,NULL,2013-05-08
Q6305,1998-01-01,3935,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
RHS98,1998-01-01,3936,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,665,NULL,NULL,NULL,NULL,NULL,2013-05-08
RSW98,1998-01-01,3937,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,2471,NULL,NULL,NULL,NULL,NULL,2013-05-08
SBM98,1998-01-01,3938,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1998-12-31,1998-01-01,1998-12-31,25701,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9801,1998-01-01,3939,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,4081,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9803,1998-01-01,3940,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,70632,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9804,1998-01-01,3941,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,81258,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9810,1998-01-01,3942,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,93572,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9811,1998-01-01,3943,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,2184,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9815,1998-01-01,3944,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SG9817,1998-01-01,3945,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Saga Petroleum ASA,1998-12-31,1998-01-01,1998-12-31,63,NULL,NULL,NULL,NULL,NULL,2013-05-08
SH9801,1998-01-01,3946,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,A/S Norske Shell,1998-12-31,1998-01-01,1998-12-31,50341,NULL,NULL,NULL,NULL,NULL,2013-05-08
SHDE98,1998-01-01,3947,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,2936,NULL,NULL,NULL,NULL,NULL,2013-05-08
SHDEI98,1998-01-01,3948,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,2010,NULL,NULL,NULL,NULL,NULL,2013-05-08
SKH-II-98,1998-01-01,3949,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,NOPEC A/S,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
SL98,1998-01-01,3950,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST98,1998-01-01,3951,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,GEOTEAM EXPLORATION AS,1998-12-31,1998-01-01,1998-12-31,3141,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9802,1998-01-01,3952,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1998-12-31,1998-01-01,1998-12-31,123591,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST9804,1998-01-01,3953,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Den norske stats oljeselskap a.s,1998-12-31,1998-01-01,1998-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
