prlName,prlActive,prlCurrentArea,prlDateGranted,prlDateValidTo,prlAreaPolyDateValidFrom,prlAreaPolyDateValidTo,prlAreaPolyFromZvalue,prlAreaPolyToZvalue,prlAreaPolyVertLimEn,prlAreaPolyVertLimNo,prlStratigraphical,prlAreaPolyStratigraphical,prlNpdidLicence,prlLastOperatorNameShort,prlLastOperatorNameLong,prlLicensingActivityName,prlLastOperatorNpdidCompany,prlFactUrl,prlAreaGeometryWKT
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1971-09-01,1974-09-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.133333 56.5,4.133333 56.533333,4.1 56.533333,4.1 56.55,4.05 56.55,4.05 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4.166667 56.7,4.166667 56.683333,4.216667 56.683333,4.216667 56.666667,4.266667 56.666667,4.266667 56.65,4.3 56.65,4.3 56.633333,4.333333 56.633333,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.75,3.333333 57,3.45 57,3.45 56.916667,3.383333 56.916667,3.383333 56.833333,3.35 56.833333,3.35 56.8,3.383333 56.8,3.383333 56.783333,3.416667 56.783333,3.416667 56.75,3.583333 56.75,3.583333 56.866667,3.55 56.866667,3.55 56.916667,3.583333 56.916667,3.583333 57,3.666667 57,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1996-01-01,1999-01-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4 56.7,4 56.6)),((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1965-09-01,1971-09-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.333333 56.5,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.75,3.333333 57,3.666667 57,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1974-09-01,1995-12-31,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.133333 56.5,4.133333 56.533333,4.1 56.533333,4.1 56.55,4.05 56.55,4.05 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4.166667 56.7,4.166667 56.683333,4.216667 56.683333,4.216667 56.666667,4.266667 56.666667,4.266667 56.65,4.3 56.65,4.3 56.633333,4.333333 56.633333,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1999-01-01,2000-10-09,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","POLYGON((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5))"
"006 B","ACTIVE","ACTIVE",2000-10-09,2028-12-31,2000-10-09,9999-12-31,0,100,NULL,NULL,"NO","NO",1333048,"BP NORGE","BP Norge AS","Awarded additionaly to round 1-A",2052695,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333048","MULTIPOLYGON(((3.333333 56.25,3.516667 56.25,3.516667 56.3,3.5 56.3,3.5 56.316667,3.483333 56.316667,3.483333 56.333333,3.45 56.333333,3.45 56.35,3.366667 56.35,3.366667 56.416667,3.333333 56.416667,3.333333 56.25)))"
"006 C","ACTIVE","ACTIVE",2000-10-09,2028-12-31,2003-01-01,9999-12-31,0,100,NULL,NULL,"NO","NO",1333089,"LUNDIN NORWAY","Lundin Norway AS","Awarded additionaly to round 1-A",2767314,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333089","MULTIPOLYGON(((3.416667 56.5,3.533333 56.5,3.533333 56.533333,3.516667 56.533333,3.516667 56.55,3.5 56.55,3.5 56.616667,3.433333 56.616667,3.433333 56.633333,3.416667 56.633333,3.416667 56.608333,3.35 56.608333,3.35 56.583333,3.383333 56.583333,3.383333 56.566667,3.416667 56.566667,3.416667 56.5)))"
"006 C","ACTIVE","INACTIVE",2000-10-09,2028-12-31,2000-10-09,2001-01-01,0,100,NULL,NULL,"NO","NO",1333089,"LUNDIN NORWAY","Lundin Norway AS","Awarded additionaly to round 1-A",2767314,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333089","POLYGON((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.516667 56.25,3.516667 56.3,3.5 56.3,3.5 56.316667,3.483333 56.316667,3.483333 56.333333,3.45 56.333333,3.45 56.35,3.366667 56.35,3.366667 56.416667,3.333333 56.416667,3.333333 56.5,3.333333 56.608333,3.416667 56.608333,3.416667 56.675,3.333333 56.675,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5))"
"006 C","ACTIVE","INACTIVE",2000-10-09,2028-12-31,2001-01-01,2003-01-01,0,100,NULL,NULL,"NO","NO",1333089,"LUNDIN NORWAY","Lundin Norway AS","Awarded additionaly to round 1-A",2767314,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333089","MULTIPOLYGON(((3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.75,3.666667 56.75,3.666667 56.633333,3.616667 56.633333)),((3.533333 56.5,3.533333 56.483333,3.416667 56.483333,3.416667 56.5,3.416667 56.566667,3.383333 56.566667,3.383333 56.583333,3.35 56.583333,3.35 56.608333,3.416667 56.608333,3.416667 56.633333,3.433333 56.633333,3.433333 56.616667,3.5 56.616667,3.5 56.55,3.516667 56.55,3.516667 56.533333,3.533333 56.533333,3.533333 56.5)))"
"006 D","INACTIVE","INACTIVE",2008-02-29,2011-08-29,2008-02-29,2011-08-29,0,100,NULL,NULL,"NO","NO",4909688,"LUNDIN NORWAY","Lundin Norway AS","TFO2007",2767314,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4909688","MULTIPOLYGON(((3.333333 56.5,3.416667 56.5,3.416667 56.566667,3.383333 56.566667,3.383333 56.583333,3.35 56.583333,3.35 56.608333,3.333333 56.608333,3.333333 56.5)))"
