wlbNpdidWellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
1300,"2/1-A-6","2/1-A-6","GYDA","019 B","DEVELOPMENT","BP Norway Limited  U.A.","NO","VILDKAT EXPLORER","GYDA",1988-07-28,1988-09-25,"OIL","PLUGGED",50,"PRODUCTION",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1300","http://www.npd.no/FactMapSearch?NPDID_wellbore=1300","NO","POINT(3.085228 56.904875)"
1301,"2/8-A-24","2/8-A-24","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1988-09-15,1988-11-07,"NOT AVAILABLE","PLUGGED",71,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1301","http://www.npd.no/FactMapSearch?NPDID_wellbore=1301","NO","POINT(3.395581 56.278078)"
1302,"34/10-33","34/10-33","GULLFAKS SØR","050","EXPLORATION","Den norske stats oljeselskap a.s","NO","WEST DELTA",NULL,1988-09-25,1988-12-15,"OIL/GAS","P&A",13,"APPRAISAL",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1302","http://www.npd.no/FactMapSearch?NPDID_wellbore=1302","NO","POINT(2.215861 61.126233)"
1303,"34/10-A-17","34/10-A-17","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS A","GULLFAKS A",1988-07-23,1988-10-08,"OIL","PLUGGED",50,"PRODUCTION",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1303","http://www.npd.no/FactMapSearch?NPDID_wellbore=1303","NO","POINT(2.189761 61.176092)"
1304,"34/10-B-4","34/10-B-4","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS B","GULLFAKS B",1988-07-25,1988-09-13,"OIL","PLUGGED",50,"PRODUCTION",142.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1304","http://www.npd.no/FactMapSearch?NPDID_wellbore=1304","NO","POINT(2.201642 61.202806)"
1305,"6206/2-U-8","6206/2-U-8",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-05-20,1988-06-12,NULL,"P&A",0,NULL,210.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1305",NULL,"NO","POINT(6.603525 62.939286)"
1306,"30/9-7","30/9-7","OSEBERG SØR","104","EXPLORATION","Norsk Hydro Produksjon AS","NO","POLAR PIONEER",NULL,1988-11-02,1988-12-23,"OIL","P&A",5,"WILDCAT",98.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1306","http://www.npd.no/FactMapSearch?NPDID_wellbore=1306","YES","POINT(2.751944 60.417989)"
1307,"30/3-A-5","30/3-A-5","VESLEFRIKK","052","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","DEEPSEA BERGEN","VESLEFRIKK A",1988-08-15,1988-11-27,"NOT AVAILABLE","PLUGGED",71,"PRODUCTION",175.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1307","http://www.npd.no/FactMapSearch?NPDID_wellbore=1307","NO","POINT(2.897883 60.782714)"
1328,"7029/3-U-1","7029/3-U-1",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-08-19,1988-08-23,NULL,"P&A",0,NULL,366.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1328",NULL,"NO","POINT(29.904186 70.902825)"
1308,"2/5-8","2/5-8",NULL,"006","EXPLORATION","Amoco Norway Oil Company","NO","DYVI STENA",NULL,1988-09-18,1988-11-05,"OIL SHOWS","P&A",12,"APPRAISAL",66.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1308","http://www.npd.no/FactMapSearch?NPDID_wellbore=1308","NO","POINT(3.439586 56.587714)"
1309,"6507/8-3","6507/8-3",NULL,"124","EXPLORATION","Den norske stats oljeselskap a.s","NO","WEST DELTA",NULL,1988-09-03,1988-09-20,"GAS SHOWS","P&A",12,"WILDCAT",309.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1309","http://www.npd.no/FactMapSearch?NPDID_wellbore=1309","NO","POINT(7.641469 65.459614)"
1310,"2/4-K-24","2/4-K-24","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK K","EKOFISK K",1988-08-03,1988-08-31,"WATER","INJECTING",173,"INJECTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1310","http://www.npd.no/FactMapSearch?NPDID_wellbore=1310","NO","POINT(3.206339 56.565581)"
1311,"7/12-8","7/12-8","ULA","019","EXPLORATION","BP Norway Limited  U.A.","NO","VILDKAT EXPLORER",NULL,1988-10-03,1988-12-27,"OIL","SUSPENDED",5,"APPRAISAL",70.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1311","http://www.npd.no/FactMapSearch?NPDID_wellbore=1311","NO","POINT(2.897947 57.083678)"
1312,"7/12-A-4","7/12-A-4","ULA","019","DEVELOPMENT","BP Norway Limited  U.A.","NO","ULA DP","ULA PP",1988-09-01,1988-11-11,"WATER","INJECTING",173,"INJECTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1312","http://www.npd.no/FactMapSearch?NPDID_wellbore=1312","NO","POINT(2.847469 57.111453)"
1313,"2/4-13","2/4-13",NULL,"146","EXPLORATION","Saga Petroleum ASA","NO","TREASURE SAGA",NULL,1988-09-03,1988-10-06,"GAS SHOWS","JUNKED",12,"WILDCAT",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1313","http://www.npd.no/FactMapSearch?NPDID_wellbore=1313","NO","POINT(3.145703 56.684439)"
1329,"7127/10-U-3","7127/10-U-3",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-08-07,1988-08-10,NULL,"P&A",0,NULL,264.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1329",NULL,"NO","POINT(27.184011 71.181947)"
1314,"2/4-C-15","2/4-C-15 A","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK C","EKOFISK C",1988-07-16,1988-11-23,"OIL","PRODUCING",50,"PRODUCTION",73.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1314","http://www.npd.no/FactMapSearch?NPDID_wellbore=1314","NO","POINT(3.215639 56.548)"
1315,"6407/9-U-14","6407/9-U-14",NULL,NULL,"SHALLOW","A/S Norske Shell","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1315",NULL,"NO","POINT(7.738853 64.310531)"
1316,"34/10-B-7","34/10-B-7","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS B","GULLFAKS B",1989-03-19,1989-04-26,"WATER","INJECTING",173,"INJECTION",133.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1316","http://www.npd.no/FactMapSearch?NPDID_wellbore=1316","NO","POINT(2.201814 61.202753)"
1320,"30/9-U-1","30/9-U-1",NULL,NULL,"SHALLOW","Norsk Hydro Produksjon AS","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1320",NULL,"NO","POINT(2.827314 60.491864)"
1321,"31/6-U-14","31/6-U-14",NULL,NULL,"SHALLOW","Den norske stats oljeselskap a.s","NO",NULL,NULL,1988-06-24,1988-06-24,NULL,"P&A",0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1321",NULL,"NO","POINT(3.696478 60.650267)"
1322,"31/6-U-15","31/6-U-15",NULL,NULL,"SHALLOW","Den norske stats oljeselskap a.s","NO",NULL,NULL,1988-07-05,1988-07-05,NULL,"P&A",0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1322",NULL,"NO","POINT(3.694942 60.650328)"
1323,"31/6-U-16","31/6-U-16",NULL,NULL,"SHALLOW","Den norske stats oljeselskap a.s","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1323",NULL,"NO","POINT(3.696239 60.650289)"
1324,"31/6-U-17","31/6-U-17",NULL,NULL,"SHALLOW","Den norske stats oljeselskap a.s","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1324",NULL,"NO","POINT(3.696239 60.650289)"
1325,"7430/10-U-1","7430/10-U-1",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-07-27,1988-07-29,NULL,"P&A",0,NULL,335.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1325",NULL,"NO","POINT(30.245606 74.213278)"
1326,"7430/7-U-1","7430/7-U-1",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-07-29,1988-08-28,NULL,"P&A",0,NULL,343.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1326",NULL,"NO","POINT(30.248931 74.442972)"
1330,"7128/12-U-1","7128/12-U-1",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-08-10,1988-08-14,NULL,"P&A",0,NULL,409.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1330",NULL,"NO","POINT(28.841347 71.240458)"
1332,"7029/3-U-2","7029/3-U-2",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-08-23,1988-08-27,NULL,"P&A",0,NULL,308.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1332",NULL,"NO","POINT(29.981544 70.935281)"
